time_s,dt_s,wall_s,total_volume_m3,debris_volume_m3,entrained_m3,ice_volume_m3,melted_m3,max_h_m,max_speed_m_s,debris_front_route_km,debris_front_upper_km,flood_front_route_km,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,series_origin
915.0,0.2515509743107031,63.2,42401925.0,31215044.53125,5844916.807083716,466613.3605957031,6617347.8950717375,50.85758209228516,34.45750045776367,11.82,33.78,11.82,18971.61328125,15382.90234375,12.696309089660645,1807.3575439453125,0.8090594410896301,210.0,17350.900390625,13974.359375,36.815765380859375,1801.0804443359375,0.8076521754264832,240.0,171.5222625732422,0.0,2.7543129920959477,1439.5784912109375,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
920.0,0.2371142878217824,63.5,42399752.34375,31208449.21875,5856338.130985131,465795.9777832031,6618164.134324424,50.88261032104492,34.4023323059082,11.88,33.84,11.88,18863.59765625,15298.53125,12.66688060760498,1807.3868408203125,0.80926513671875,210.0,16870.560546875,13593.1240234375,36.72715759277344,1801.012451171875,0.8076539039611816,240.0,171.52627563476562,0.0,2.754390239715576,1439.57861328125,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
925.0,0.2139622900275526,63.8,42397312.5,31201723.828125,5867317.477883329,464979.0344238281,6618979.95758158,50.89847946166992,34.34561920166016,11.94,33.9,11.97,18758.810546875,15217.990234375,12.62777614593506,1807.4119873046875,0.8094960451126099,210.0,16398.49609375,13218.0048828125,36.6372184753418,1800.938720703125,0.8076508045196533,240.0,171.52740478515625,0.0,2.754483222961426,1439.57861328125,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
930.0,0.1865132125141144,64.1,42394710.9375,31194931.640625,5877977.649284829,464156.982421875,6619800.842011243,50.90494155883789,34.2663459777832,12.03,34.02,12.06,18606.130859375,15098.35546875,12.57705307006836,1807.4327392578125,0.8097081780433655,210.0,15972.7802734375,12879.2265625,36.54622650146485,1800.85986328125,0.8076457381248474,240.0,171.53195190429688,0.0,2.754512310028076,1439.5787353515625,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
935.0,0.1826000270100394,64.4,42391736.71875,31187925.0,5888095.647270908,463329.2724609375,6620627.390776843,50.902286529541016,34.169193267822266,12.09,34.11,12.12,18437.7890625,14965.62890625,12.53089714050293,1807.44921875,0.8098992705345154,210.0,15624.2578125,12601.1630859375,36.45490646362305,1800.776123046875,0.8076401948928833,240.0,171.53695678710938,0.0,2.7546093463897705,1439.578857421875,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
940.0,0.1914060754074853,64.8,42388098.046875,31180503.515625,5897357.568924059,462499.8596191406,6621455.537175097,50.89144515991211,34.074462890625,12.12,34.17,12.24,18255.216796875,14821.3779296875,12.485180854797363,1807.4617919921875,0.8101021647453308,210.0,15367.1455078125,12395.0087890625,36.36335754394531,1800.687744140625,0.8076357841491699,240.0,171.5398406982422,0.0,2.7546961307525635,1439.578857421875,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
945.0,0.2017852082183253,65.1,42384304.6875,31173029.296875,5906298.724342813,461670.3918457031,6622283.806849353,50.87361526489258,33.98633575439453,12.27,34.23,12.27,18078.56640625,14681.9072265625,12.44049072265625,1807.471435546875,0.8103116154670715,210.0,15199.0791015625,12258.88671875,36.27143096923828,1800.5948486328125,0.8076335787773132,240.0,171.545654296875,0.0,2.754744529724121,1439.5789794921875,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
950.0,0.2136000311531916,65.4,42380261.71875,31165425.0,5914811.990390648,460838.232421875,6623114.683654241,50.85085678100586,33.91493225097656,12.3,34.29,12.33,17888.73828125,14531.4326171875,12.385112762451172,1807.4786376953125,0.8105041980743408,210.0,15107.9306640625,12183.263671875,36.1801643371582,1800.498779296875,0.8076341152191162,240.0,171.55145263671875,0.0,2.754836320877075,1439.5791015625,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
955.0,0.2269819547208271,65.7,42376950.0,31158400.78125,5923863.600920071,460015.3839111328,6623936.219444953,50.82550048828125,33.8531608581543,12.39,34.44,12.42,17655.251953125,14345.2490234375,12.312981605529783,1807.48388671875,0.8106828927993774,210.0,15079.3251953125,12156.9228515625,36.091453552246094,1800.4022216796875,0.8076379895210266,240.0,171.55517578125,0.0,2.754918336868286,1439.5791015625,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
960.0,0.2309410093756696,66.0,42374506.640625,31152055.078125,5933579.561497201,459198.30322265625,6624751.98973351,50.80009460449219,33.80358123779297,12.48,34.5,12.48,17381.138671875,14125.8095703125,12.229683876037598,1807.4873046875,0.8108484148979187,210.0,15096.328125,12166.5947265625,36.00618362426758,1800.30810546875,0.8076457977294922,240.0,171.55911254882812,0.0,2.7549760341644287,1439.5792236328125,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
965.0,0.207651908455773,66.4,42372284.765625,31145934.375,5943305.574323167,458386.88049316406,6625562.045388006,50.77678298950195,33.759857177734375,12.51,34.56,12.57,17106.404296875,13905.587890625,12.149073600769045,1807.4888916015625,0.8110026121139526,210.0,15135.20703125,12193.533203125,35.9233512878418,1800.2188720703125,0.8076575398445129,240.0,171.56040954589844,0.0,2.755053997039795,1439.579345703125,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
970.0,0.1860536050414794,66.7,42370428.515625,31140123.046875,5953227.789209713,457584.8510742188,6626362.728130154,50.75778198242188,33.712547302246094,12.63,34.65,12.66,16858.38671875,13706.8505859375,12.077801704406738,1807.489013671875,0.8111494779586792,210.0,15169.318359375,12216.69140625,35.84117126464844,1800.1343994140625,0.8076732158660889,240.0,171.5647430419922,0.0,2.755117177963257,1439.579345703125,0.0,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
975.0,0.1672866542486417,67.1,42368702.34375,31134452.34375,5963143.551318278,456789.9627685547,6627156.256958179,50.74540710449219,33.67327880859375,12.66,34.71,12.75,16605.830078125,13504.2275390625,12.001838684082031,1807.4876708984373,0.8112878799438477,210.0,15174.43359375,12216.9755859375,35.7572021484375,1800.0523681640625,0.8076923489570618,240.0,171.56288146972656,9.872720812240244e-39,2.7551867961883545,1439.5794677734375,1.017104464360882e-40,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
980.0,0.1621112312067225,67.4,42367155.46875,31128946.875,5973144.543890585,456008.6151123047,6627936.319127202,50.74198913574219,33.63395690917969,12.78,34.8,12.84,16352.228515625,13300.5966796875,11.917238235473633,1807.4849853515625,0.8114199638366699,210.0,15138.375,12184.9345703125,35.67095184326172,1799.9697265625,0.807714581489563,240.0,171.56362915039062,4.158958247104275e-34,2.75522518157959,1439.5794677734375,4.2148008581432133e-36,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
985.0,0.1597077471114971,67.7,42366283.59375,31123940.625,5983766.86706983,455237.4298095703,6628706.233628642,50.74858474731445,33.60123062133789,12.84,34.86,12.9,16121.884765625,13115.6923828125,11.824902534484863,1807.4813232421875,0.811546266078949,210.0,15063.3115234375,12122.439453125,35.58479690551758,1799.889404296875,0.8077393174171448,240.0,171.56375122070312,7.020092888195465e-30,2.7552990913391118,1439.57958984375,7.108767409514433e-32,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
990.0,0.1570086839349187,68.0,42365341.40625,31118892.1875,5994299.788038363,454470.5017089844,6629471.884636477,50.76382064819336,33.573951721191406,12.93,34.95,12.99,15926.505859375,12959.0185546875,11.732942581176758,1807.4769287109373,0.8116664290428162,210.0,14951.0263671875,12030.79296875,35.49874496459961,1799.81103515625,0.8077659606933594,240.0,171.5668182373047,7.809491233797108e-26,2.755360841751098,1439.57958984375,7.897053292051284e-28,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
995.0,0.1541985214205397,68.4,42364248.046875,31113738.28125,6004701.560197701,453712.6373291016,6630228.431422252,50.78378677368164,33.54088592529297,12.99,35.04,13.02,15701.1728515625,12777.8583984375,11.63863754272461,1807.4718017578125,0.8117790222167969,210.0,14803.8291015625,11911.6806640625,35.41191864013672,1799.73291015625,0.8077942132949829,240.0,171.56585693359375,3.772976306830049e-22,2.7554447650909424,1439.5797119140625,3.80531078447919e-24,60.0,LOCAL_DOCUMENTED_REIMPLEMENTATION
