method,time_s,wet_volume_proxy_m3
reference,160,40543940.0
RiskTemporal_B10,160,38302028.0
reference,170,40666108.0
RiskTemporal_B10,170,41450640.0
reference,180,40784260.0
RiskTemporal_B10,180,44208468.0
reference,190,40865248.0
RiskTemporal_B10,190,44406216.0
reference,200,40930284.0
RiskTemporal_B10,200,44607476.0
reference,210,41013616.0
RiskTemporal_B10,210,46324840.0
reference,220,41089560.0
RiskTemporal_B10,220,45542048.0
reference,230,41164732.0
RiskTemporal_B10,230,46952536.0
reference,240,41264056.0
RiskTemporal_B10,240,47097780.0
reference,250,41327096.0
RiskTemporal_B10,250,46839960.0
reference,260,41388572.0
RiskTemporal_B10,260,43568744.0
reference,270,41439964.0
RiskTemporal_B10,270,43191132.0
reference,280,41480804.0
RiskTemporal_B10,280,42239460.0
reference,290,41518728.0
RiskTemporal_B10,290,41980280.0
reference,300,41563204.0
RiskTemporal_B10,300,40391188.0
reference,310,41612540.0
RiskTemporal_B10,310,39517700.0
reference,320,41663760.0
RiskTemporal_B10,320,39091912.0
reference,330,41710484.0
RiskTemporal_B10,330,38738768.0
reference,340,41748496.0
RiskTemporal_B10,340,38457148.0
reference,350,41780612.0
RiskTemporal_B10,350,38123960.0
reference,360,41824528.0
RiskTemporal_B10,360,37892720.0
reference,370,41879076.0
RiskTemporal_B10,370,37651832.0
reference,380,41924304.0
RiskTemporal_B10,380,36938944.0
reference,390,41946740.0
RiskTemporal_B10,390,36775112.0
reference,400,41976904.0
RiskTemporal_B10,400,36540632.0
reference,410,42009236.0
RiskTemporal_B10,410,36395500.0
reference,420,42044120.0
RiskTemporal_B10,420,36206476.0
reference,430,42083068.0
RiskTemporal_B10,430,36079760.0
reference,440,42118516.0
RiskTemporal_B10,440,35895912.0
reference,450,42136064.0
RiskTemporal_B10,450,35776208.0
reference,460,42152704.0
RiskTemporal_B10,460,35618588.0
reference,470,42169972.0
RiskTemporal_B10,470,35510988.0
reference,480,42184736.0
RiskTemporal_B10,480,35359104.0
reference,490,42212104.0
RiskTemporal_B10,490,35276336.0
reference,500,42242892.0
RiskTemporal_B10,500,35138728.0
reference,510,42271352.0
RiskTemporal_B10,510,35071084.0
reference,520,42275748.0
RiskTemporal_B10,520,35063472.0
reference,530,42269020.0
RiskTemporal_B10,530,35011548.0
reference,540,42267332.0
RiskTemporal_B10,540,34889472.0
reference,550,42271060.0
RiskTemporal_B10,550,34840900.0
reference,560,42276216.0
RiskTemporal_B10,560,34726920.0
reference,570,42287792.0
RiskTemporal_B10,570,34813264.0
reference,580,42293568.0
RiskTemporal_B10,580,34707248.0
reference,590,42292224.0
RiskTemporal_B10,590,34654756.0
reference,600,42289172.0
RiskTemporal_B10,600,34842216.0
reference,610,42282736.0
RiskTemporal_B10,610,34724860.0
reference,620,42279596.0
RiskTemporal_B10,620,34658756.0
reference,630,42282768.0
RiskTemporal_B10,630,34545524.0
reference,640,42295940.0
RiskTemporal_B10,640,34434840.0
reference,650,42317728.0
RiskTemporal_B10,650,34627764.0
reference,660,42336404.0
RiskTemporal_B10,660,34519108.0
reference,670,42339212.0
RiskTemporal_B10,670,34416768.0
reference,680,42321616.0
RiskTemporal_B10,680,34308868.0
reference,690,42297076.0
RiskTemporal_B10,690,34215420.0
reference,700,42275568.0
RiskTemporal_B10,700,34113208.0
reference,710,42261428.0
RiskTemporal_B10,710,34022844.0
reference,720,42254424.0
RiskTemporal_B10,720,33919180.0
reference,730,42252156.0
RiskTemporal_B10,730,34083768.0
reference,740,42248628.0
RiskTemporal_B10,740,34026768.0
reference,750,42242568.0
RiskTemporal_B10,750,33927640.0
reference,760,42239460.0
RiskTemporal_B10,760,33870704.0
reference,770,42232192.0
RiskTemporal_B10,770,34011812.0
reference,780,42224264.0
RiskTemporal_B10,780,34239820.0
reference,790,42215504.0
RiskTemporal_B10,790,34575960.0
reference,800,42209232.0
RiskTemporal_B10,800,34849900.0
reference,810,42207104.0
RiskTemporal_B10,810,34779056.0
reference,820,42204308.0
RiskTemporal_B10,820,34782272.0
reference,830,42202588.0
RiskTemporal_B10,830,34998352.0
reference,840,42201920.0
RiskTemporal_B10,840,35006820.0
reference,850,42200668.0
RiskTemporal_B10,850,34968292.0
reference,860,42199648.0
RiskTemporal_B10,860,35034524.0
reference,870,42195112.0
RiskTemporal_B10,870,34999212.0
reference,880,42188636.0
RiskTemporal_B10,880,35313772.0
reference,890,42178284.0
RiskTemporal_B10,890,35224408.0
reference,900,42170124.0
RiskTemporal_B10,900,35396684.0
reference,910,42164008.0
RiskTemporal_B10,910,35313788.0
reference,920,42159648.0
RiskTemporal_B10,920,35333436.0
reference,930,42154236.0
RiskTemporal_B10,930,35276784.0
reference,940,42148344.0
RiskTemporal_B10,940,35579640.0
reference,950,42140472.0
RiskTemporal_B10,950,35512024.0
reference,960,42134996.0
RiskTemporal_B10,960,35950396.0
reference,970,42130924.0
RiskTemporal_B10,970,35998924.0
reference,980,42128360.0
RiskTemporal_B10,980,36061152.0
reference,990,42126048.0
RiskTemporal_B10,990,36188212.0
reference,1000,42124040.0
RiskTemporal_B10,1000,36357416.0
reference,1010,42124428.0
RiskTemporal_B10,1010,36573552.0
reference,1020,42125532.0
RiskTemporal_B10,1020,36730408.0
reference,1030,42127508.0
RiskTemporal_B10,1030,36709764.0
reference,1040,42128844.0
RiskTemporal_B10,1040,36912144.0
reference,1050,42131352.0
RiskTemporal_B10,1050,36902484.0
reference,1060,42132516.0
RiskTemporal_B10,1060,37096164.0
reference,1070,42131972.0
RiskTemporal_B10,1070,37267340.0
reference,1080,42129948.0
RiskTemporal_B10,1080,37308760.0
reference,1090,42126524.0
RiskTemporal_B10,1090,37568432.0
reference,1100,42123312.0
RiskTemporal_B10,1100,37617524.0
reference,1110,42119044.0
RiskTemporal_B10,1110,37876964.0
reference,1120,42114336.0
RiskTemporal_B10,1120,38060056.0
reference,1130,42109040.0
RiskTemporal_B10,1130,38058376.0
reference,1140,42104628.0
RiskTemporal_B10,1140,38015312.0
reference,1150,42099104.0
RiskTemporal_B10,1150,38353068.0
reference,1160,42095756.0
RiskTemporal_B10,1160,38324980.0
reference,1170,42090976.0
RiskTemporal_B10,1170,38339016.0
reference,1180,42085328.0
RiskTemporal_B10,1180,38491692.0
reference,1190,42080876.0
RiskTemporal_B10,1190,38653364.0
reference,1200,42077608.0
RiskTemporal_B10,1200,38709372.0
reference,1210,42075844.0
RiskTemporal_B10,1210,38714756.0
reference,1220,42075760.0
RiskTemporal_B10,1220,38862936.0
reference,1230,42076716.0
RiskTemporal_B10,1230,38859408.0
reference,1240,42076652.0
RiskTemporal_B10,1240,38946676.0
reference,1250,42077916.0
RiskTemporal_B10,1250,38937304.0
reference,1260,42079824.0
RiskTemporal_B10,1260,38923308.0
reference,1270,42081432.0
RiskTemporal_B10,1270,39066692.0
reference,1280,42081360.0
RiskTemporal_B10,1280,39101996.0
reference,1290,42081316.0
RiskTemporal_B10,1290,39087416.0
reference,1300,42081872.0
RiskTemporal_B10,1300,39191452.0
reference,1310,42084700.0
RiskTemporal_B10,1310,39260712.0
reference,1320,42091240.0
RiskTemporal_B10,1320,39587820.0
reference,1330,42098048.0
RiskTemporal_B10,1330,39592816.0
reference,1340,42106852.0
RiskTemporal_B10,1340,39577004.0
reference,1350,42108928.0
RiskTemporal_B10,1350,39700028.0
reference,1360,42110472.0
RiskTemporal_B10,1360,39764748.0
reference,1370,42110120.0
RiskTemporal_B10,1370,39728916.0
reference,1380,42109292.0
RiskTemporal_B10,1380,40012512.0
reference,1390,42109172.0
RiskTemporal_B10,1390,39991136.0
reference,1400,42109172.0
RiskTemporal_B10,1400,40031276.0
reference,1410,42108140.0
RiskTemporal_B10,1410,39992704.0
reference,1420,42104968.0
RiskTemporal_B10,1420,40089784.0
reference,1430,42100132.0
RiskTemporal_B10,1430,40070100.0
reference,1440,42093496.0
RiskTemporal_B10,1440,40053816.0
