method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms
EngineeringROI_v2_B05,JILONG_EI_0019,760,B05,90;49;174;103;232;4;58;134;235;29,0.05,10,115,105,10,0.0181023194553989,0.8869565217391303,10,0,0,0.0,13449,0.1029856575108545,1766,0.7470389170896785,403,0.003085970702422,0.010820041197326,0.0001985548005905,0.318928062915802,54.44420001003891,1.7226999916601926,37.80199999164324,2.1844000002602115,1.492399998824112
EngineeringROI_v2_B05,JILONG_EI_0019,770,B05,219;119;13;217;57;105;157;3;46;84,0.05,10,113,103,10,0.0144343790919741,0.9283185840707964,10,0,0,0.0,13419,0.1027559326446692,1172,0.6217506631299735,123,0.0009418719513595,0.0114939008048027,0.0001986068091355,0.1885756552219391,54.38259999209549,1.7376000032527372,37.71600000618491,1.8177000019932168,1.509599998826161
EngineeringROI_v2_B05,JILONG_EI_0019,780,B05,90;174;49;103;4;232;134;58;235;29,0.05,10,114,104,10,0.0181023194553989,0.8894736842105264,10,0,0,0.0,13378,0.1024419753275493,1758,0.7436548223350253,398,0.0030476832247245,0.0111799434876829,0.0001991091266972,0.3095397353172302,54.74880000110716,2.4648999969940637,39.37100000621285,2.2305000020423904,1.242800004547462
EngineeringROI_v2_B05,JILONG_EI_0019,790,B05,219;119;13;217;105;57;157;3;46;84,0.05,10,115,105,10,0.0144343790919741,0.9269565217391303,10,0,0,0.0,13325,0.1020361280639554,1172,0.6217506631299735,115,0.0008806119870435,0.0117695706442251,0.0001999256055569,0.1888804733753204,54.30180000257678,1.7549000040162357,37.82970001338981,1.7703000048641115,1.2845999881392345
EngineeringROI_v2_B05,JILONG_EI_0019,800,B05,90;174;49;103;4;232;134;58;235;192,0.05,10,115,105,10,0.0153992235299522,0.902608695652174,10,0,0,0.0,13296,0.1018140606933096,1462,0.7270014917951269,374,0.0028639033317763,0.0099241142192034,0.0001796918368199,0.2977886795997619,54.10549999214709,1.7963999998755753,37.39869999117218,1.768000001902692,2.2056000016164035
EngineeringROI_v2_B05,JILONG_EI_0019,810,B05,219;119;13;217;105;57;157;3;46;161,0.05,10,115,105,10,0.0198099409607093,0.9217391304347826,10,0,0,0.0,13271,0.1016226233048219,1761,0.6807112485504445,127,0.0009725019335176,0.0124051427740043,0.000221581896767,0.1892878264188766,54.33460000494961,1.7595999961486086,38.06679999979679,2.2690000041620806,1.3362000026972964
EngineeringROI_v2_B05,JILONG_EI_0019,820,B05,90;4;49;174;103;232;58;192;134;235,0.05,10,115,105,10,0.0153992235299522,0.9095652173913044,10,0,0,0.0,13215,0.1011938035546094,1447,0.7195425161611139,364,0.0027873283763812,0.0102687015184813,0.0001817488519009,0.2836666107177734,54.21500001102686,1.7663999897195026,37.73709999222774,1.7260000022361055,1.6899000038392842
EngineeringROI_v2_B05,JILONG_EI_0019,830,B05,219;119;13;217;105;57;157;3;46;161,0.05,10,115,105,10,0.0198099409607093,0.9147826086956522,10,0,0,0.0,13177,0.1009028187241081,1760,0.680324700425203,127,0.0009725019335176,0.012175417907819,0.0002235623833257,0.1895908862352371,54.87100000027567,1.852600005804561,39.21919999993406,1.9767999910982328,1.5165000077104196
EngineeringROI_v2_B05,JILONG_EI_0019,840,B05,90;232;192;4;174;103;49;134;58;235,0.05,10,115,105,10,0.0153992235299522,0.9147826086956522,10,0,0,0.0,13139,0.1006118338936067,1433,0.7125808055693684,347,0.0026571509522095,0.0102993315006394,0.0001851084380177,0.2656799554824829,54.39379999006633,1.7708000086713582,38.176399990334176,1.7376000032527372,1.3026999949943274
EngineeringROI_v2_B05,JILONG_EI_0019,850,B05,219;119;13;217;105;57;3;157;46;161,0.05,10,115,105,10,0.0198099409607093,0.9165217391304348,10,0,0,0.0,13113,0.1004127390095795,1756,0.6787785079242366,123,0.0009418719513595,0.0122673078542931,0.0002247490629088,0.1899363547563552,54.2431000067154,1.7539999971631914,37.8579000098398,2.180800001951866,1.2883000017609447
