budget_fraction,budget_max_count,pre_refresh_candidate_count,candidate_count,selected_count,actual_active_fraction,mean_selected_support_risk_rank,first_pass_count,second_pass_count,selected_patch_consecutive_overlap_count,selected_patch_consecutive_overlap_fraction,support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,depth_guard_activation_fraction,depth_guard_mean_abs_clip_m,depth_guard_max_abs_clip_m,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms,depth_guard_runtime_ms,method,time_s,selected_patch_ids
0.1,19,98,81,19,0.09830692773621459,0.7438238453276047,19,0,0,0.0,11642,0.08914856307096201,10739,0.836501012618788,2140,0.016387040454548935,0.0,0.0,0.0,2.3323999921558425,74.51589999254793,2.1271000005071983,0.90079999063164,RiskTemporal_B10,170,26;58;105;201;119;235;91;156;206;212;20;33;174;203;233;170;61;66;177
0.1,19,99,81,19,0.09045033731267851,0.7517278043593835,19,0,0,0.0,11785,0.09024358493311177,9023,0.7638841855739925,1624,0.01243577275616237,0.0,0.0,0.0,1.7002000095089898,72.60919999680482,2.4437999963993207,0.9391999919898808,RiskTemporal_B10,180,90;57;25;202;121;251;157;49;78;155;112;29;88;232;4;135;165;213;178
0.1,19,98,81,19,0.09099401949598364,0.734156820622986,19,0,0,0.0,11810,0.0904350223215995,10843,0.9124800134646133,1377,0.010544371357903684,0.0,0.0,0.0,1.6885999939404428,71.17700000526384,1.5941000019665807,0.5711999983759597,RiskTemporal_B10,190,10;74;106;201;104;206;156;33;235;158;41;13;203;212;61;177;5;3;102
0.1,19,98,81,19,0.08052622309347504,0.7497314715359827,19,0,0,0.0,12040,0.09219624629568653,8407,0.7994484594903005,650,0.004977372100680751,0.0,0.0,0.0,2.3247000062838197,72.96050000877585,1.6079999913927168,0.556500002858229,RiskTemporal_B10,200,57;251;90;121;202;24;157;78;34;155;119;112;29;232;4;213;88;100;52
0.1,19,97,81,19,0.10293971253761745,0.7189365165491047,19,0,0,0.0,12280,0.09403404522516866,12004,0.8929554414937142,2660,0.020368938135093537,0.0,0.0,0.0,1.7256999999517575,71.50849999743514,1.6333000094164163,0.564800007850863,RiskTemporal_B10,210,40;217;219;105;74;13;156;49;206;185;61;174;35;196;135;10;103;229;165
0.1,19,94,77,19,0.10505318130652189,0.7222844344904815,19,0,0,0.0,12255,0.09384260783668094,10951,0.7982360230337489,1346,0.01030698899617891,0.0,0.0,0.0,2.3363999935099855,73.19209999695886,1.606199992238544,0.5778000049758703,RiskTemporal_B10,220,57;251;202;106;78;157;120;155;50;20;24;213;232;29;88;112;26;144;241
0.1,19,95,77,19,0.10424148677933395,0.7130193905817176,19,0,0,0.0,12051,0.09228047874662113,12094,0.8884154851979725,2242,0.017168104999578836,0.0,0.0,0.0,1.712900004349649,71.31410000147298,1.6176999924937263,0.6490999949164689,RiskTemporal_B10,230,217;105;235;74;49;156;174;13;61;10;185;40;203;206;35;196;177;135;103
0.1,19,96,77,19,0.11529891033838473,0.7401315789473685,19,0,0,0.0,11836,0.09063411720562672,12255,0.8139071528192867,961,0.007358853213468003,0.0,0.0,0.0,1.8280999938724563,71.64750000811182,1.6789000073913485,0.5713999998988584,RiskTemporal_B10,240,57;251;202;106;78;29;232;157;155;120;50;88;20;213;25;102;144;179;69
0.1,19,99,80,19,0.08388786363531943,0.7341839447102606,19,0,0,0.0,11527,0.0882679510839185,10047,0.9171154723870378,865,0.006623733641675154,0.0,0.0,0.0,1.7076000076485798,71.51410001097247,1.596999994944781,0.5761000065831468,RiskTemporal_B10,250,58;217;219;90;49;104;174;156;61;13;35;252;10;185;177;206;212;135;86
0.1,19,97,80,19,0.11184537985006623,0.7227346717308736,19,0,0,0.0,11458,0.08773958389169238,12035,0.8239764480350541,1182,0.00905115972769946,0.0,0.0,0.0,1.6515000024810433,73.04519999888726,1.8488000059733167,0.7083999953465536,RiskTemporal_B10,260,57;251;105;218;232;157;78;29;155;91;50;20;213;186;32;27;165;102;179
0.1,19,96,79,19,0.08284644424194623,0.7571271929824562,19,0,0,0.0,11334,0.08679005444479329,9749,0.9010999168130142,652,0.004992687091759769,0.0,0.0,0.0,2.0524999999906868,72.13770000089426,1.643399999011308,0.6274000043049455,RiskTemporal_B10,270,13;58;217;89;219;49;206;121;156;35;174;61;10;177;170;5;103;135;94
0.1,19,96,78,19,0.11732048916081507,0.7346491228070176,19,0,0,0.0,11261,0.08623105727040914,12807,0.835911494027805,973,0.007450743159942109,0.0,0.0,0.0,2.282000001287088,74.5658999949228,2.2342000011121854,0.8986999891931191,RiskTemporal_B10,280,57;235;88;201;106;157;29;78;155;232;33;51;203;120;20;25;196;99;133
0.1,19,99,81,19,0.048556179216025605,0.7586390217969164,19,0,0,0.0,11179,0.08560314263616942,5886,0.9282447563475792,376,0.002879218322855327,0.0,0.0,0.0,1.6654000064590946,73.13829999475274,2.1696999901905656,0.9253000025637448,RiskTemporal_B10,290,13;219;58;105;49;217;35;156;174;206;91;46;177;252;3;135;170;103;10
0.1,19,101,83,19,0.1041036518596228,0.7248566961959353,19,0,0,0.0,11202,0.08577926503357812,11296,0.8308937109231335,901,0.006899403481097472,0.0,0.0,0.0,1.781500002834946,72.52289999451023,1.6216999938478693,0.6231000006664544,RiskTemporal_B10,300,235;89;202;157;57;78;233;29;121;192;155;34;23;20;213;32;26;60;68
0.1,19,101,85,19,0.08486036556883705,0.754038561750912,19,0,0,0.0,11094,0.08495225551531116,9015,0.8134813210611803,1154,0.008836749852593211,0.0,0.0,0.0,1.6902999923331663,71.13539999409113,1.6241000121226534,0.6467000057455152,RiskTemporal_B10,310,13;104;35;74;106;217;49;158;156;252;177;46;3;44;206;203;170;41;135
0.1,19,105,86,19,0.0990879922812445,0.7659147869674185,19,0,0,0.0,11028,0.08444686080970358,11080,0.8562596599690881,952,0.007289935753612423,0.0,0.0,0.0,1.7457000067224726,73.0693999939831,1.6391999961342663,0.598999991780147,RiskTemporal_B10,320,88;219;58;157;201;90;78;233;29;121;192;155;34;4;36;24;60;102;213
0.1,19,104,86,19,0.07142911839253854,0.7839068825910932,19,0,0,0.0,10945,0.08381128867992435,7396,0.7928816466552315,750,0.0057431216546316366,0.0,0.0,0.0,1.6822000034153461,71.61559999804012,1.7884999979287386,0.644500003545545,RiskTemporal_B10,330,13;104;35;235;57;217;49;206;91;174;46;156;44;3;177;135;203;170;93
