scenario_id,method,budget_fraction,trajectory_h_rel_l2,trajectory_momentum_rel_l2,change_region_h_rel_l2,change_region_momentum_rel_l2,mean_wet_iou,final_wet_iou,false_positive_wet_fraction,mixture_volume_relative_error,debris_front_mae_km
JILONG_EI_0039,RiskTemporal_B20,0.2,1.4217828820352332,1.3276345788706585,0.727731271909213,0.5646862396890321,0.4082605380446917,0.3754552477651473,0.3951598423045396,0.2377252672700818,15.071328701464449
JILONG_EI_0049,RiskTemporal_B05,0.05,1.0783674550707791,2.414704107754265,0.7614771740755392,0.569990956897248,0.3553431436690358,0.2319963237707608,0.5751954585590187,0.1427055944082199,10.200000244629132
JILONG_EI_0049,RiskTemporal_B10,0.1,1.0736721615830676,1.826076451213088,0.7628885499602284,0.5762248166174002,0.3486588148628445,0.2562973655719957,0.5644737664936527,0.1503531173006876,10.068251951799526
JILONG_EI_0049,RiskTemporal_B20,0.2,1.999922072629251,0.9574215733491566,0.7619049371647321,0.5702887375694654,0.3964750859809643,0.3436185133239832,0.4074922721082553,0.2259736744802431,12.462083586595124
JILONG_EI_0059,RiskTemporal_B05,0.05,1.1250169410879978,3.1287622086353863,0.7596364554748585,0.5188431109822123,0.3549179763970059,0.24504492147315,0.5748048563950606,0.1298068175398593,11.095141154805749
JILONG_EI_0059,RiskTemporal_B10,0.1,1.131939490119841,1.788736841726693,0.7273957218053374,0.5151029786472479,0.3598887097081901,0.2937834767083265,0.5479351309977516,0.1235883161937034,11.171619998763354
JILONG_EI_0059,RiskTemporal_B20,0.2,1.4667449053167922,1.1088215892826978,0.7168079143009084,0.515832767483507,0.4001611225237618,0.359280205655527,0.4098941385981883,0.2850629282181751,12.499300862551776
JILONG_EI_0069,RiskTemporal_B05,0.05,1.0728842807989265,2.840169740322994,0.7789273886920708,0.5752778252046535,0.3404035224323857,0.2297222222222222,0.5810905263406875,0.158603421847821,10.081049166255063
JILONG_EI_0069,RiskTemporal_B10,0.1,1.061940683756336,1.8481671614203852,0.761644607911755,0.583208339601803,0.3265672318025992,0.2409638554216867,0.5736690884228343,0.1761831675389347,9.999650522441296
JILONG_EI_0069,RiskTemporal_B20,0.2,1.6301024710552592,1.122735022342353,0.7559449932897279,0.566660385052085,0.3452970812741862,0.2952803549818475,0.461732467230832,0.2167228661162952,10.776084247064755
JILONG_EI_0079,RiskTemporal_B05,0.05,1.0880361856234972,2.030097224397433,0.7512972846118278,0.525218211272669,0.3415024206952418,0.2359929701230228,0.5854509673666392,0.1223802431967526,10.854718452634316
