method,scenario_id,eligible_patch_count,total_selections,unique_selected_patches,unique_patch_fraction,unique_to_selection_ratio,top1_selection_share,top5_share,top10_share,consecutive_overlap_count,consecutive_denominator_count,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak
EngineeringROI_B05,JILONG_EI_0169,182,1440,86,0.4725274725274725,0.059722222222222225,0.09791666666666667,0.33611111111111114,0.5104166666666666,746,1430,0.5216783216783217,0.8255813953488372,16.74418604651163,141,3.893648449039882,6.023255813953488
EngineeringROI_B05,JILONG_EI_0179,182,1440,82,0.45054945054945056,0.05694444444444444,0.09652777777777778,0.34097222222222223,0.5465277777777777,856,1430,0.5986013986013986,0.8536585365853658,17.5609756097561,139,3.6944035346097204,7.0
EngineeringROI_B05,JILONG_EI_0189,182,1440,90,0.4945054945054945,0.0625,0.09583333333333334,0.33125,0.5298611111111111,854,1430,0.5972027972027972,0.8777777777777778,16.0,138,3.9325925925925924,6.5777777777777775
EngineeringROI_B05,JILONG_EI_0199,182,1440,90,0.4945054945054945,0.0625,0.09583333333333334,0.3034722222222222,0.47708333333333336,867,1430,0.6062937062937063,0.8777777777777778,16.0,138,4.341481481481481,6.822222222222222
EngineeringROI_B10,JILONG_EI_0009,182,2736,113,0.6208791208791209,0.041301169590643276,0.04861111111111111,0.1878654970760234,0.3081140350877193,1629,2717,0.5995583364004416,0.9203539823008849,24.212389380530972,133,3.6504003049942813,9.584070796460177
EngineeringROI_B10,JILONG_EI_0019,182,2736,112,0.6153846153846154,0.04093567251461988,0.05263157894736842,0.20321637426900585,0.3505116959064328,1709,2717,0.6290025763709974,0.9464285714285714,24.428571428571427,144,3.549161585365854,9.080357142857142
EngineeringROI_B10,JILONG_EI_0029,182,2736,115,0.6318681318681318,0.04203216374269006,0.05263157894736842,0.2050438596491228,0.3340643274853801,1525,2717,0.5612808244387192,0.8695652173913043,23.791304347826088,144,3.686379244563144,6.947826086956522
EngineeringROI_B10,JILONG_EI_0039,182,2736,113,0.6208791208791209,0.041301169590643276,0.05263157894736842,0.19846491228070176,0.3340643274853801,1705,2717,0.6275303643724697,0.9203539823008849,24.212389380530972,144,3.769348074723599,9.061946902654867
EngineeringROI_B10,JILONG_EI_0049,182,2736,115,0.6318681318681318,0.04203216374269006,0.049342105263157895,0.18421052631578946,0.31798245614035087,1617,2717,0.5951417004048583,0.9217391304347826,23.791304347826088,135,3.539870278519649,8.939130434782609
EngineeringROI_B10,JILONG_EI_0059,182,2736,116,0.6373626373626373,0.04239766081871345,0.05263157894736842,0.20760233918128654,0.3519736842105263,1802,2717,0.6632315053367684,0.9310344827586207,23.586206896551722,144,3.6908396946564888,9.655172413793103
