method,scenario_id,time_s,budget,selected_patch_ids,budget_fraction,budget_max_count,candidate_count,selected_count,actual_active_fraction,predicted_front_chainage_m,front_available,mean_selected_dynamic_rank,mean_selected_front_rank,mean_selected_support_risk_rank,mean_selected_section_rank,mean_selected_base_score,selected_section_patch_count,first_pass_count,second_pass_count,global_forward_runtime_ms,roi_scoring_runtime_ms,local_correction_runtime_ms,support_guard_runtime_ms
SectionOnly_B10,JILONG_EI_0009,920,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.54789999930654,1.279100004467182,8.913900004699826,2.1751000022049998
SectionOnly_B10,JILONG_EI_0009,930,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.23910000536125,1.422800007276237,8.852300001308322,2.397499993094243
SectionOnly_B10,JILONG_EI_0009,940,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.06359999324195,1.2978000013390556,8.883200003765523,2.420499993604608
SectionOnly_B10,JILONG_EI_0009,950,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.19030000141356,1.366500000585802,8.64150001143571,2.664499988895841
SectionOnly_B10,JILONG_EI_0009,960,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.21199998818338,1.279499992961064,8.895699997083284,2.1644999942509457
SectionOnly_B10,JILONG_EI_0009,970,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.32599999767263,1.2849999911850318,8.805299992673099,2.235299994936213
SectionOnly_B10,JILONG_EI_0009,980,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.13299999781884,1.3504999951692298,8.543799995095469,2.187299993238412
SectionOnly_B10,JILONG_EI_0009,990,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.39429999387357,1.3182999973651022,8.534299995517358,2.176499998313375
SectionOnly_B10,JILONG_EI_0009,1000,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.62120000447612,1.9150000007357448,9.609200002159923,3.165000001899898
SectionOnly_B10,JILONG_EI_0009,1010,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.294699992169626,1.280299999052659,8.985500011476688,2.41279999318067
SectionOnly_B10,JILONG_EI_0009,1020,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.93030000070576,1.357000001007691,8.649399998830631,2.194400003645569
SectionOnly_B10,JILONG_EI_0009,1030,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.83940000319853,1.3125999976182356,8.854999992763624,2.2218999947654083
SectionOnly_B10,JILONG_EI_0009,1040,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.98240000067744,1.2860999995609743,9.139200003119186,2.2170000011101365
SectionOnly_B10,JILONG_EI_0009,1050,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.29259999073111,1.284700003452599,8.959800004959106,2.1963000035611917
SectionOnly_B10,JILONG_EI_0009,1060,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.24069998844061,1.320399998803623,8.530000006430782,2.106400002958253
SectionOnly_B10,JILONG_EI_0009,1070,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.01590001222212,1.2778000091202557,9.971399995265529,2.431400003843009
SectionOnly_B10,JILONG_EI_0009,1080,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.755600009229966,1.4097999955993146,8.678700003656559,2.2548999986611307
SectionOnly_B10,JILONG_EI_0009,1090,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.44530000386294,1.2688999995589256,9.083800003281794,2.214599997387268
SectionOnly_B10,JILONG_EI_0009,1100,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.36330000520684,1.3111000007484108,8.797199989203364,2.1826000011060387
SectionOnly_B10,JILONG_EI_0009,1110,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.12730000191368,1.5374000067822635,8.899200009182096,2.860699998564087
SectionOnly_B10,JILONG_EI_0009,1120,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.37610000080895,1.3017999881412834,9.267100002034567,2.2221999970497563
SectionOnly_B10,JILONG_EI_0009,1130,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.51589998847339,1.3323000021046028,8.78740000189282,2.20239999180194
SectionOnly_B10,JILONG_EI_0009,1140,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.44880000140984,1.3261999993119389,8.554399988497607,2.584200003184378
SectionOnly_B10,JILONG_EI_0009,1150,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.05150000296999,1.3075000024400651,9.502399989287367,2.223699993919581
SectionOnly_B10,JILONG_EI_0009,1160,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.89349999313709,1.3283000007504595,8.519599999999627,2.220899987150915
SectionOnly_B10,JILONG_EI_0009,1170,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,55.22819999896456,1.295800000661984,8.552900006179698,2.583299996331334
SectionOnly_B10,JILONG_EI_0009,1180,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.88510000577662,1.2925000046379864,8.870599995134398,2.34620000992436
SectionOnly_B10,JILONG_EI_0009,1190,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.076300002634525,1.3201000110711902,8.730200002901256,2.222399998572655
SectionOnly_B10,JILONG_EI_0009,1200,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.838700001710095,1.285899998038076,8.825400000205263,2.5655999925220385
SectionOnly_B10,JILONG_EI_0009,1210,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.45130000589416,1.298299990594387,8.936800004448742,2.208299993071705
SectionOnly_B10,JILONG_EI_0009,1220,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.16680000780616,1.3577999925473705,8.945599998696707,2.2262999991653487
SectionOnly_B10,JILONG_EI_0009,1230,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.129500000271946,1.7374000017298386,8.776200003921986,2.186999990954064
SectionOnly_B10,JILONG_EI_0009,1240,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.39989999285899,1.589299994520843,8.499000003212132,2.8273999923840165
SectionOnly_B10,JILONG_EI_0009,1250,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.10419999680016,1.3601999962702394,9.1171999956714,2.2189000010257587
SectionOnly_B10,JILONG_EI_0009,1260,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.35429999488406,1.3609000016003847,8.640600004582666,2.5781000003917143
SectionOnly_B10,JILONG_EI_0009,1270,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,56.01139999635052,1.292700006160885,9.234400000423191,2.2001999896019697
SectionOnly_B10,JILONG_EI_0009,1280,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.331800012732856,1.29420000303071,9.339100011857226,2.212599996710196
SectionOnly_B10,JILONG_EI_0009,1290,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,56.20869999984279,1.4459000085480511,8.94210000114981,2.1880999993300065
SectionOnly_B10,JILONG_EI_0009,1300,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.006000005756505,2.271899997140281,8.581699992646463,2.125800005160272
SectionOnly_B10,JILONG_EI_0009,1310,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,56.14270000660326,1.5691000007791445,8.90820000495296,2.171099986298941
SectionOnly_B10,JILONG_EI_0009,1320,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.229599991231225,1.280000011320226,8.86950000131037,2.212799998233095
SectionOnly_B10,JILONG_EI_0009,1330,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,54.28630000096746,1.349600002868101,8.635899997898377,2.1891000069445
SectionOnly_B10,JILONG_EI_0009,1340,B10,195;86,0.1,19,2,2,0.0409446286497538,,False,,,,0.75,,2,2,0,53.89439999999013,1.3703000004170462,8.522300006006844,2.2213999909581617
