chainage_m,x,y
3268.0946086676117,352104.46595484077,3132996.2300477154
3288.094608667511,352090.3234800857,3133010.3718441995
3308.094608667739,352076.18100533064,3133024.513640684
3328.094608667638,352062.0385305756,3133038.655437168
3348.0946086674962,352047.8960558206,3133052.7972336523
3368.0946086677245,352033.7535810655,3133066.939030137
3388.0946086676236,352019.61110631045,3133081.080826621
3408.0946086675226,352005.4686315554,3133095.222623105
3428.0946086674217,351991.3261568003,3133109.3644195893
3448.09460866765,351977.18368204526,3133123.506216074
3468.094608667549,351963.0412072902,3133137.648012558
3488.094608667448,351948.89873253513,3133151.789809042
3508.0946086676763,351934.75625778007,3133165.9316055267
3528.0946086675754,351920.613783025,3133180.073402011
3548.0946086674744,351906.47130826995,3133194.215198495
3568.0946086677027,351892.3288335149,3133208.3569949795
3588.0946086676017,351878.1863587598,3133222.4987914637
3608.094608667501,351864.04388400476,3133236.640587948
3628.094608667729,351849.9014092497,3133250.7823844324
3648.094608667587,351835.7589344947,3133264.9241809165
3668.094608667486,351821.6164597396,3133279.0659774006
3688.0946086677145,351807.47398498456,3133293.207773885
3708.0946086676136,351793.3315102295,3133307.3495703693
3727.457947973987,351791.609257,3133326.6361655304
3747.457947973987,351791.609257,3133346.6361655304
3767.457947973987,351791.609257,3133366.6361655304
3787.457947973987,351791.609257,3133386.6361655304
3807.457947973987,351791.609257,3133406.6361655304
3827.457947973987,351791.609257,3133426.6361655304
3847.457947973987,351791.609257,3133446.6361655304
3867.457947973987,351791.609257,3133466.6361655304
3887.457947973987,351791.609257,3133486.6361655304
3907.457947973987,351791.609257,3133506.6361655304
3927.457947973987,351791.609257,3133526.6361655304
3947.457947973987,351791.609257,3133546.6361655304
3967.457947973987,351791.609257,3133566.6361655304
3987.457947973987,351791.609257,3133586.6361655304
4007.457947973987,351791.609257,3133606.6361655304
4027.457947973987,351791.609257,3133626.6361655304
4047.457947973987,351791.609257,3133646.6361655304
4067.457947973987,351791.609257,3133666.6361655304
4087.457947973987,351791.609257,3133686.6361655304
4107.457947973987,351791.609257,3133706.6361655304
4127.457947973987,351791.609257,3133726.6361655304
4147.15109683143,351781.3624088375,3133743.4534844207
4167.151096831286,351770.03149631555,3133759.9340918553
4187.151096831526,351758.70058379363,3133776.4146992904
4207.151096831382,351747.3696712717,3133792.895306725
4227.151096831622,351736.0387587498,3133809.37591416
4247.151096831479,351724.70784622786,3133825.856521595
4267.151096831302,351713.376933706,3133842.3371290294
4287.151096831542,351702.04602118407,3133858.8177364646
4307.151096831399,351690.71510866215,3133875.298343899
4327.151096831255,351679.3841961402,3133891.778951334
4347.151096831495,351668.0532836183,3133908.259558769
4367.151096831351,351656.7223710964,3133924.7401662036
4387.1510968315915,351645.39145857445,3133941.2207736387
4407.151096831415,351634.0605460526,3133957.7013810733
4427.151096831271,351622.72963353066,3133974.181988508
4447.1510968315115,351611.39872100874,3133990.662595943
4467.151096831368,351600.0678084868,3134007.1432033777
4487.151096831608,351588.7368959649,3134023.623810813
4507.151096831464,351577.40598344296,3134040.1044182475
4527.1510968313205,351566.07507092104,3134056.585025682
4547.151096831528,351554.7441583992,3134073.065633117
4567.151096831384,351543.41324587725,3134089.546240552
4587.1510968312405,351532.0823333553,3134106.0268479865
4607.151096831481,351520.7514208334,3134122.5074554216
4627.151096831337,351509.4205083115,3134138.9880628563
4647.151096831577,351498.08959578956,3134155.4686702914
4667.151096831433,351486.75868326763,3134171.949277726
4687.151096831257,351475.42777074577,3134188.4298851606
4707.151096831497,351464.09685822384,3134204.9104925958
4726.535324602662,351462.7129810211,3134224.245258438
4746.53532460276,351463.58172550914,3134244.226381605
4766.535324602858,351464.4504699972,3134264.207504772
4786.5353246024915,351465.31921448524,3134284.1886279387
4806.53532460259,351466.1879589733,3134304.169751106
4826.535324602686,351467.0567034613,3134324.150874273
4846.535324602784,351467.9254479493,3134344.13199744
4866.535324602883,351468.7941924374,3134364.113120607
4886.535324602516,351469.6629369254,3134384.0942437737
4906.535324602614,351470.5316814135,3134404.075366941
4926.5353246027125,351471.4004259015,3134424.056490108
4946.535324602811,351472.26917038957,3134444.037613275
4966.535324602909,351473.1379148776,3134464.018736442
4986.5353246025425,351474.00665936567,3134483.9998596087
5006.535324602639,351474.87540385366,3134503.980982776
5026.535324602737,351475.7441483417,3134523.962105943
5046.535324602835,351476.61289282975,3134543.94322911
5066.535324602469,351477.4816373178,3134563.9243522766
5086.535324602567,351478.35038180585,3134583.9054754437
5106.535324602665,351479.2191262939,3134603.886598611
5126.5353246027635,351480.08787078195,3134623.867721778
5146.535324602862,351480.95661527,3134643.848844945
5166.535324602492,351481.825359758,3134663.8299681116
5186.535324602591,351482.69410424604,3134683.8110912787
5206.535324602689,351483.5628487341,3134703.792214446
5226.535324602787,351484.43159322214,3134723.773337613
5246.535324602885,351485.3003377102,3134743.75446078
5266.535324602519,351486.16908219823,3134763.7355839466
5286.535324602617,351487.0378266863,3134783.7167071137
5306.535324602715,351487.90657117433,3134803.6978302808
5326.5353246028135,351488.7753156624,3134823.678953448
5346.53532460291,351489.6440601504,3134843.660076615
5366.535324602543,351490.5128046384,3134863.6411997816
5386.535324602642,351491.38154912647,3134883.6223229486
5405.057095856946,351487.3668212002,3134901.703749056
5425.057095857022,351473.2241526551,3134915.8453517384
5445.057095857099,351459.08148411004,3134929.986954421
5465.057095856846,351444.93881556496,3134944.1285571028
5485.057095856922,351430.7961470199,3134958.270159785
5505.057095856999,351416.6534784748,3134972.4117624676
5525.057095857075,351402.51080992975,3134986.55336515
5545.057095857152,351388.3681413847,3135000.6949678324
5565.057095856899,351374.2254728396,3135014.8365705144
5584.29789913417,351355.1011852634,3135016.95084
5604.29789913417,351335.1011852634,3135016.95084
5624.29789913417,351315.1011852634,3135016.95084
5644.29789913417,351295.1011852634,3135016.95084
5664.29789913417,351275.1011852634,3135016.95084
5684.29789913417,351255.1011852634,3135016.95084
5704.29789913417,351235.1011852634,3135016.95084
5724.29789913417,351215.1011852634,3135016.95084
5744.29789913417,351195.1011852634,3135016.95084
5764.29789913417,351175.1011852634,3135016.95084
5784.29789913417,351155.1011852634,3135016.95084
5804.29789913417,351135.1011852634,3135016.95084
5824.29789913417,351115.1011852634,3135016.95084
5844.29789913417,351095.1011852634,3135016.95084
5864.29789913417,351075.1011852634,3135016.95084
5884.29789913417,351055.1011852634,3135016.95084
5904.29789913417,351035.1011852634,3135016.95084
5924.29789913417,351015.1011852634,3135016.95084
5944.29789913417,350995.1011852634,3135016.95084
5964.29789913417,350975.1011852634,3135016.95084
5984.29789913417,350955.1011852634,3135016.95084
6004.29789913417,350935.1011852634,3135016.95084
6024.29789913417,350915.1011852634,3135016.95084
6044.29789913417,350895.1011852634,3135016.95084
6064.29789913417,350875.1011852634,3135016.95084
6084.29789913417,350855.1011852634,3135016.95084
6104.29789913417,350835.1011852634,3135016.95084
6124.29789913417,350815.1011852634,3135016.95084
6144.29789913417,350795.1011852634,3135016.95084
6164.29789913417,350775.1011852634,3135016.95084
6184.29789913417,350755.1011852634,3135016.95084
6204.29789913417,350735.1011852634,3135016.95084
6224.29789913417,350715.1011852634,3135016.95084
6244.29789913417,350695.1011852634,3135016.95084
6264.29789913417,350675.1011852634,3135016.95084
6284.29789913417,350655.1011852634,3135016.95084
6304.29789913417,350635.1011852634,3135016.95084
6324.29789913417,350615.1011852634,3135016.95084
6344.29789913417,350595.1011852634,3135016.95084
6364.29789913417,350575.1011852634,3135016.95084
6384.29789913417,350555.1011852634,3135016.95084
6404.29789913417,350535.1011852634,3135016.95084
6424.29789913417,350515.1011852634,3135016.95084
6444.29789913417,350495.1011852634,3135016.95084
6464.29789913417,350475.1011852634,3135016.95084
6484.004030557294,350458.13720487145,3135026.978550852
6504.004030557385,350441.4959416984,3135038.0721688373
6524.004030557169,350424.85467852536,3135049.1657868223
6544.00403055726,350408.2134153523,3135060.259404808
6564.004030557351,350391.5721521792,3135071.3530227933
6583.14595328992,350373.24457709136,3135076.876898
6603.14595328992,350353.24457709136,3135076.876898
6623.14595328992,350333.24457709136,3135076.876898
6643.14595328992,350313.24457709136,3135076.876898
6663.14595328992,350293.24457709136,3135076.876898
6683.14595328992,350273.24457709136,3135076.876898
6703.14595328992,350253.24457709136,3135076.876898
6723.14595328992,350233.24457709136,3135076.876898
6743.14595328992,350213.24457709136,3135076.876898
6763.14595328992,350193.24457709136,3135076.876898
6783.082514691616,350173.30885797896,3135077.0601573656
6803.082514691706,350157.6911142907,3135089.5535989287
6823.0825146917505,350142.07337060245,3135102.047040492
6843.0825146918405,350126.45562691416,3135114.540482055
6863.082514691885,350110.83788322593,3135127.033923618
6883.082514691639,350095.2201395377,3135139.5273651807
6903.082514691729,350079.6023958494,3135152.0208067438
6923.082514691773,350063.9846521612,3135164.514248307
6943.082514691863,350048.3669084729,3135177.00768987
6963.082514691617,350032.7491647847,3135189.5011314326
6982.3122058982435,350015.3359856301,3135197.659698441
7002.312205898233,349995.45826425723,3135199.8679088075
7022.312205898215,349975.5805428844,3135202.0761191742
7042.312205898204,349955.70282151154,3135204.2843295406
7062.3122058981935,349935.82510013867,3135206.492539907
7082.3122058982335,349915.9473787658,3135208.7007502737
7102.312205898223,349896.0696573929,3135210.90896064
7122.312205898205,349876.1919360201,3135213.1171710067
7142.312205898194,349856.3142146472,3135215.325381373
7162.312205898234,349836.43649327435,3135217.53359174
7182.3122058982235,349816.5587719015,3135219.741802106
7202.312205898206,349796.68105052866,3135221.950012473
7222.312205898195,349776.8033291558,3135224.1582228392
7242.312205898235,349756.9256077829,3135226.366433206
7261.759921629845,349741.9496204141,3135238.7734251665
7281.759921629892,349727.8076624089,3135252.9157384066
7301.7599216299395,349713.6657044037,3135267.0580516467
7321.759921629946,349699.52374639857,3135281.200364887
7341.759921629993,349685.38178839337,3135295.342678127
7361.7599216300405,349671.23983038816,3135309.484991367
7380.237484001108,349654.1791990438,3135316.581129
7400.237484001108,349634.1791990438,3135316.581129
7420.237484001108,349614.1791990438,3135316.581129
7440.237484001108,349594.1791990438,3135316.581129
7460.237484001108,349574.1791990438,3135316.581129
7480.237484001108,349554.1791990438,3135316.581129
7500.237484001108,349534.1791990438,3135316.581129
7520.225458078651,349514.1913064018,3135316.638185615
