method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
SmoothOracleV2_B10,JILONG_EI_0009,1140,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1150,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1160,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1170,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1180,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1190,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1200,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1210,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1220,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1230,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1240,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1250,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1260,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1270,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1280,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1290,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1300,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1310,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1320,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1330,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1340,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1350,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1360,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1370,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1380,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1390,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1400,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0009,1410,0.1,19,182,0.10529822116378618
