method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
OraclePerfectV2_B20,JILONG_EI_0129,390,1171.9053955078125,0.7549248452788934,1.0,1.0,1.0,1.0,1.0,682.4486083984375,416.89178466796875,72.5649642944336
OraclePerfectV2_B20,JILONG_EI_0129,400,1181.108154296875,0.7460674565602783,1.0,1.0,1.0,1.0,1.0,681.93701171875,422.085205078125,77.08588409423828
OraclePerfectV2_B20,JILONG_EI_0129,410,1185.1737060546875,0.7414400827518521,1.0,1.0,1.0,1.0,1.0,677.6077270507812,426.2954406738281,81.27053833007812
OraclePerfectV2_B20,JILONG_EI_0129,420,1188.6600341796875,0.7390209177519423,1.0,1.0,1.0,1.0,1.0,674.1536865234375,430.88177490234375,83.62454223632812
OraclePerfectV2_B20,JILONG_EI_0129,430,1190.2156982421875,0.7385515719731791,1.0,1.0,1.0,1.0,1.0,667.0247802734375,437.1517333984375,86.0392074584961
OraclePerfectV2_B20,JILONG_EI_0129,440,1183.210693359375,0.7430091570854994,1.0,1.0,1.0,1.0,1.0,654.540283203125,439.26702880859375,89.40342712402344
OraclePerfectV2_B20,JILONG_EI_0129,450,1183.386474609375,0.7478524929623244,1.0,1.0,1.0,1.0,1.0,647.34130859375,442.8160095214844,93.22928619384766
OraclePerfectV2_B20,JILONG_EI_0129,460,1180.3203125,0.7544248148431344,1.0,1.0,1.0,1.0,1.0,641.94384765625,441.25469970703125,97.12185668945312
OraclePerfectV2_B20,JILONG_EI_0129,470,1181.83935546875,0.7625220263990848,1.0,1.0,1.0,1.0,1.0,635.6356811523438,443.863037109375,102.34053802490234
OraclePerfectV2_B20,JILONG_EI_0129,480,1185.779052734375,0.7700755457347414,1.0,1.0,1.0,1.0,1.0,634.9607543945312,445.42431640625,105.39399719238281
OraclePerfectV2_B20,JILONG_EI_0129,490,1190.33447265625,0.7755414274475064,1.0,1.0,1.0,1.0,1.0,635.4248657226562,445.2923889160156,109.61711883544922
OraclePerfectV2_B20,JILONG_EI_0129,500,1199.129150390625,0.7807736129551297,1.0,1.0,1.0,1.0,1.0,636.869384765625,448.3537902832031,113.90597534179688
OraclePerfectV2_B20,JILONG_EI_0129,510,1202.2708740234375,0.7838347586533482,1.0,1.0,1.0,1.0,1.0,635.969482421875,448.1732177734375,118.12812805175781
OraclePerfectV2_B20,JILONG_EI_0129,520,1207.837158203125,0.787362659137977,1.0,1.0,1.0,1.0,1.0,634.2874145507812,450.00341796875,123.54624938964844
OraclePerfectV2_B20,JILONG_EI_0129,530,1213.6051025390625,0.7914600748978148,1.0,1.0,1.0,1.0,1.0,633.0457763671875,454.49847412109375,126.0609130859375
OraclePerfectV2_B20,JILONG_EI_0129,540,1221.6337890625,0.7954467893091859,1.0,1.0,1.0,1.0,1.0,633.5742797851562,457.41650390625,130.64306640625
OraclePerfectV2_B20,JILONG_EI_0129,550,1226.33642578125,0.7978588598050012,1.0,1.0,1.0,1.0,1.0,633.2792358398438,458.91278076171875,134.14447021484375
OraclePerfectV2_B20,JILONG_EI_0129,560,1232.5657958984375,0.7986712088600549,1.0,1.0,1.0,1.0,1.0,634.6627197265625,456.2843933105469,141.61874389648438
OraclePerfectV2_B20,JILONG_EI_0129,570,1234.1181640625,0.7980778989929276,1.0,1.0,1.0,1.0,1.0,635.0468139648438,454.3056640625,144.76568603515625
OraclePerfectV2_B20,JILONG_EI_0129,580,1238.4100341796875,0.7988402924360946,1.0,1.0,1.0,1.0,1.0,635.2636108398438,452.84967041015625,150.29676818847656
OraclePerfectV2_B20,JILONG_EI_0129,590,1242.719970703125,0.7988806142872181,1.0,1.0,1.0,1.0,1.0,635.022216796875,452.17193603515625,155.5257568359375
OraclePerfectV2_B20,JILONG_EI_0129,600,1250.45458984375,0.7970759220959892,1.0,1.0,1.0,1.0,1.0,636.60693359375,454.0422058105469,159.80551147460938
OraclePerfectV2_B20,JILONG_EI_0129,610,1256.272705078125,0.7954561099408776,1.0,1.0,1.0,1.0,1.0,636.1344604492188,455.20440673828125,164.93380737304688
OraclePerfectV2_B20,JILONG_EI_0129,620,1262.27001953125,0.7951769646981001,1.0,1.0,1.0,1.0,1.0,635.37841796875,458.3445739746094,168.547119140625
OraclePerfectV2_B20,JILONG_EI_0129,630,1274.528564453125,0.7928611514380239,1.0,1.0,1.0,1.0,1.0,641.5618286132812,458.9842529296875,173.98243713378906
OraclePerfectV2_B20,JILONG_EI_0129,640,1286.5238037109375,0.7931371555663833,1.0,1.0,1.0,1.0,1.0,648.37890625,458.6717224121094,179.47332763671875
OraclePerfectV2_B20,JILONG_EI_0129,650,1296.9461669921875,0.7914315389391738,1.0,1.0,1.0,1.0,1.0,654.0717163085938,459.2080078125,183.6664581298828
OraclePerfectV2_B20,JILONG_EI_0129,660,1304.2520751953125,0.791308815309917,1.0,1.0,1.0,1.0,1.0,657.0191650390625,457.50445556640625,189.728515625
OraclePerfectV2_B20,JILONG_EI_0129,670,1316.961669921875,0.7903131282539718,1.0,1.0,1.0,1.0,1.0,660.2894287109375,460.3719482421875,196.30030822753906
OraclePerfectV2_B20,JILONG_EI_0129,680,1326.5615234375,0.7904364218026484,1.0,1.0,1.0,1.0,1.0,666.16748046875,460.39459228515625,199.99940490722656
OraclePerfectV2_B20,JILONG_EI_0129,690,1336.7366943359375,0.7894089616682998,1.0,1.0,1.0,1.0,1.0,672.44775390625,458.1965637207031,206.09243774414062
OraclePerfectV2_B20,JILONG_EI_0129,700,1351.267333984375,0.7882721659137768,1.0,1.0,1.0,1.0,1.0,680.94580078125,457.00604248046875,213.31558227539062
OraclePerfectV2_B20,JILONG_EI_0129,710,1364.90771484375,0.7870053602929713,1.0,1.0,1.0,1.0,1.0,687.6250610351562,459.403564453125,217.87908935546875
OraclePerfectV2_B20,JILONG_EI_0129,720,1373.712890625,0.7838729093141676,1.0,1.0,1.0,1.0,1.0,695.3441162109375,453.8199462890625,224.54879760742188
OraclePerfectV2_B20,JILONG_EI_0129,730,1385.9111328125,0.7787884426747632,1.0,1.0,1.0,1.0,1.0,703.7632446289062,451.2240295410156,230.92381286621094
OraclePerfectV2_B20,JILONG_EI_0129,740,1395.9400634765625,0.7748965184555431,1.0,1.0,1.0,1.0,1.0,711.6688232421875,447.4366760253906,236.83450317382812
OraclePerfectV2_B20,JILONG_EI_0129,750,1406.8114013671875,0.770010524105153,1.0,1.0,1.0,1.0,1.0,718.594970703125,445.03948974609375,243.17691040039062
OraclePerfectV2_B20,JILONG_EI_0129,760,1419.6982421875,0.7645731899715402,1.0,1.0,1.0,1.0,1.0,724.6705322265625,442.462158203125,252.56552124023438
OraclePerfectV2_B20,JILONG_EI_0129,770,1427.543701171875,0.7590475658318644,1.0,1.0,1.0,1.0,1.0,730.7920532226562,440.58306884765625,256.16864013671875
OraclePerfectV2_B20,JILONG_EI_0129,780,1439.404541015625,0.7534426287136889,1.0,1.0,1.0,1.0,1.0,737.1889038085938,436.57568359375,265.63995361328125
OraclePerfectV2_B20,JILONG_EI_0129,790,1452.55810546875,0.7475463772201365,1.0,1.0,1.0,1.0,1.0,745.4647216796875,433.23944091796875,273.85400390625
OraclePerfectV2_B20,JILONG_EI_0129,800,1467.329345703125,0.7431291691649272,1.0,1.0,1.0,1.0,1.0,754.4239501953125,430.54632568359375,282.3590393066406
OraclePerfectV2_B20,JILONG_EI_0129,810,1482.5576171875,0.7371985523479285,1.0,1.0,1.0,1.0,1.0,762.736083984375,428.04693603515625,291.77459716796875
OraclePerfectV2_B20,JILONG_EI_0129,820,1494.2154541015625,0.7333775007537062,1.0,1.0,1.0,1.0,1.0,767.484130859375,426.6802062988281,300.0510559082031
OraclePerfectV2_B20,JILONG_EI_0129,830,1506.6728515625,0.729509811486946,1.0,1.0,1.0,1.0,1.0,773.4271850585938,424.354736328125,308.8909912109375
OraclePerfectV2_B20,JILONG_EI_0129,840,1518.04833984375,0.7267191346395954,1.0,1.0,1.0,1.0,1.0,779.4779052734375,421.5198974609375,317.05047607421875
OraclePerfectV2_B20,JILONG_EI_0129,850,1528.566650390625,0.7240431823325768,1.0,1.0,1.0,1.0,1.0,784.5929565429688,418.95233154296875,325.02130126953125
OraclePerfectV2_B20,JILONG_EI_0129,860,1536.9368896484375,0.7199295269896375,1.0,1.0,1.0,1.0,1.0,790.1432495117188,416.58636474609375,330.2073059082031
OraclePerfectV2_B20,JILONG_EI_0129,870,1547.5665283203125,0.7165751488308921,1.0,1.0,1.0,1.0,1.0,795.9364013671875,414.5091552734375,337.12091064453125
OraclePerfectV2_B20,JILONG_EI_0129,880,1555.89892578125,0.7134436827621307,1.0,1.0,1.0,1.0,1.0,802.447021484375,411.678955078125,341.77288818359375
OraclePerfectV2_B20,JILONG_EI_0129,890,1568.6348876953125,0.7101030543536103,1.0,1.0,1.0,1.0,1.0,807.2406005859375,410.1539001464844,351.24041748046875
OraclePerfectV2_B20,JILONG_EI_0129,900,1580.8897705078125,0.7064551375655861,1.0,1.0,1.0,1.0,1.0,810.6810913085938,409.20062255859375,361.00799560546875
OraclePerfectV2_B20,JILONG_EI_0129,910,1590.173828125,0.7032216500080272,1.0,1.0,1.0,1.0,1.0,815.4959716796875,407.0850830078125,367.5928039550781
OraclePerfectV2_B20,JILONG_EI_0129,920,1602.40869140625,0.7006076759599041,1.0,1.0,1.0,1.0,1.0,820.297119140625,404.75494384765625,377.35662841796875
OraclePerfectV2_B20,JILONG_EI_0129,930,1615.46923828125,0.6969463311949728,1.0,1.0,1.0,1.0,1.0,824.472412109375,404.68853759765625,386.3081970214844
OraclePerfectV2_B20,JILONG_EI_0129,940,1626.146484375,0.6941561283857471,1.0,1.0,1.0,1.0,1.0,830.230224609375,404.5141906738281,391.40191650390625
OraclePerfectV2_B20,JILONG_EI_0129,950,1638.3231201171875,0.6919527104452076,1.0,1.0,1.0,1.0,1.0,836.4560546875,403.3538818359375,398.5131530761719
