method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
SmoothOracleV2_B20,JILONG_EI_0029,240,675.4879150390625,0.7155911533762681,1.0,1.0,1.0,1.0,1.0,366.3145751953125,275.58587646484375,33.587379455566406
SmoothOracleV2_B20,JILONG_EI_0029,250,680.2078857421875,0.7851576350034717,1.0,1.0,1.0,1.0,1.0,366.316650390625,278.7897644042969,35.10141372680664
SmoothOracleV2_B20,JILONG_EI_0029,260,709.735595703125,0.8097102167239252,1.0,1.0,1.0,1.0,1.0,391.5827941894531,282.29425048828125,35.858642578125
SmoothOracleV2_B20,JILONG_EI_0029,270,741.4852905273438,0.8260011644714935,1.0,1.0,1.0,1.0,1.0,413.8648681640625,290.97705078125,36.64341735839844
SmoothOracleV2_B20,JILONG_EI_0029,280,776.4834594726562,0.8438677189536483,1.0,1.0,1.0,1.0,1.0,435.52691650390625,300.9955749511719,39.96100616455078
SmoothOracleV2_B20,JILONG_EI_0029,290,807.2785034179688,0.8592895128391866,1.0,1.0,1.0,1.0,1.0,459.7267150878906,306.1784362792969,41.373348236083984
SmoothOracleV2_B20,JILONG_EI_0029,300,850.58203125,0.8684007019365649,1.0,1.0,1.0,1.0,1.0,490.5185852050781,316.4073486328125,43.65607452392578
SmoothOracleV2_B20,JILONG_EI_0029,310,888.406005859375,0.8735061318989887,1.0,1.0,1.0,1.0,1.0,519.005859375,323.8540344238281,45.54609680175781
SmoothOracleV2_B20,JILONG_EI_0029,320,930.1068115234375,0.8760739396091656,1.0,1.0,1.0,1.0,1.0,548.3782958984375,332.5015869140625,49.226932525634766
SmoothOracleV2_B20,JILONG_EI_0029,330,966.15966796875,0.8808395383904756,1.0,1.0,1.0,1.0,1.0,572.6749877929688,342.29669189453125,51.188026428222656
SmoothOracleV2_B20,JILONG_EI_0029,340,994.0784912109375,0.8812681851804232,1.0,1.0,1.0,1.0,1.0,591.22119140625,349.4194641113281,53.437904357910156
SmoothOracleV2_B20,JILONG_EI_0029,350,1017.5126342773438,0.8664191640817654,1.0,1.0,1.0,1.0,1.0,607.041259765625,354.658447265625,55.81299591064453
SmoothOracleV2_B20,JILONG_EI_0029,360,1040.763916015625,0.8411232496084238,1.0,1.0,1.0,1.0,1.0,622.0765380859375,361.92266845703125,56.76465606689453
SmoothOracleV2_B20,JILONG_EI_0029,370,1064.41455078125,0.8141901619934133,1.0,1.0,1.0,1.0,1.0,640.017333984375,364.1274719238281,60.269775390625
SmoothOracleV2_B20,JILONG_EI_0029,380,1082.67529296875,0.7886180562680435,1.0,1.0,1.0,1.0,1.0,652.2312622070312,364.9288330078125,65.5151596069336
SmoothOracleV2_B20,JILONG_EI_0029,390,1089.1962890625,0.7672887350950846,1.0,1.0,1.0,1.0,1.0,657.900390625,362.88897705078125,68.4068832397461
SmoothOracleV2_B20,JILONG_EI_0029,400,1098.4617919921875,0.7519237539645475,1.0,1.0,1.0,1.0,1.0,661.3355712890625,364.2776184082031,72.84861755371094
