method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
RandomPerfect_B05,JILONG_EI_0009,1220,0.05,10,182,0.05871001830141434
RandomPerfect_B05,JILONG_EI_0009,1230,0.05,10,182,0.08492928302869264
RandomPerfect_B05,JILONG_EI_0009,1240,0.05,10,182,0.03936718456861499
RandomPerfect_B05,JILONG_EI_0009,1250,0.05,10,182,0.009587184415465078
RandomPerfect_B05,JILONG_EI_0009,1260,0.05,10,182,0.06454502990252008
RandomPerfect_B05,JILONG_EI_0009,1270,0.05,10,182,0.07273855012979455
RandomPerfect_B05,JILONG_EI_0009,1280,0.05,10,182,0.028501198398051934
RandomPerfect_B05,JILONG_EI_0009,1290,0.05,10,182,0.06449908492928302
RandomPerfect_B05,JILONG_EI_0009,1300,0.05,10,182,0.06702605845732094
RandomPerfect_B05,JILONG_EI_0009,1310,0.05,10,182,0.08362750878697613
RandomPerfect_B05,JILONG_EI_0009,1320,0.05,10,182,0.047958894563943914
RandomPerfect_B05,JILONG_EI_0009,1330,0.05,10,182,0.05171106737830325
RandomPerfect_B05,JILONG_EI_0009,1340,0.05,10,182,0.053694358723036045
RandomPerfect_B05,JILONG_EI_0009,1350,0.05,10,182,0.07752448484198758
RandomPerfect_B05,JILONG_EI_0009,1360,0.05,10,182,0.06341172056267277
RandomPerfect_B05,JILONG_EI_0009,1370,0.05,10,182,0.04919175134580484
RandomPerfect_B05,JILONG_EI_0009,1380,0.05,10,182,0.06059376220413352
RandomPerfect_B05,JILONG_EI_0009,1390,0.05,10,182,0.0321921112480952
RandomPerfect_B05,JILONG_EI_0009,1400,0.05,10,182,0.06397837523259643
RandomPerfect_B05,JILONG_EI_0009,1410,0.05,10,182,0.029129113032291657
RandomPerfect_B05,JILONG_EI_0009,1420,0.05,10,182,0.07695783017206392
RandomPerfect_B05,JILONG_EI_0009,1430,0.05,10,182,0.03126555428781463
RandomPerfect_B05,JILONG_EI_0009,1440,0.05,10,182,0.05686456187639271
RandomPerfect_B05,JILONG_EI_0019,10,0.05,10,182,0.04112840854270202
RandomPerfect_B05,JILONG_EI_0019,20,0.05,10,182,0.050968290310970894
RandomPerfect_B05,JILONG_EI_0019,30,0.05,10,182,0.10187532065762572
