method,scenario_id,time_s,true_wet_error_fraction,false_positive_error_fraction,both_dry_error_fraction
OraclePerfectV2_B05,JILONG_EI_0069,370,0.5842033668505799,0.36381644212835496,0.05198020826185589
OraclePerfectV2_B05,JILONG_EI_0069,380,0.5824914325978522,0.36316956757939967,0.05433906831265258
OraclePerfectV2_B05,JILONG_EI_0069,390,0.5794205082371919,0.3635512774050802,0.05702829099385821
OraclePerfectV2_B05,JILONG_EI_0069,400,0.5765458023228054,0.3640964021423846,0.059357787042342625
OraclePerfectV2_B05,JILONG_EI_0069,410,0.5720376456994216,0.3666568115348441,0.06130544952624166
OraclePerfectV2_B05,JILONG_EI_0069,420,0.5675508772471202,0.3688193030097307,0.06362976898906526
OraclePerfectV2_B05,JILONG_EI_0069,430,0.5632946441352638,0.37106279524591856,0.06564256908319425
OraclePerfectV2_B05,JILONG_EI_0069,440,0.5569808805072518,0.375328526628397,0.06769054205733592
OraclePerfectV2_B05,JILONG_EI_0069,450,0.5517476783737686,0.3782647725978632,0.06998754056016297
OraclePerfectV2_B05,JILONG_EI_0069,460,0.5467037720379972,0.38057512537667026,0.07272111946880543
OraclePerfectV2_B05,JILONG_EI_0069,470,0.5426165712907423,0.38198977805123624,0.07539362542777876
OraclePerfectV2_B05,JILONG_EI_0069,480,0.5383580541270064,0.38421526993629457,0.07742669269299958
OraclePerfectV2_B05,JILONG_EI_0069,490,0.5354130115326469,0.3851789327272396,0.07940808912414392
OraclePerfectV2_B05,JILONG_EI_0069,500,0.5321914076484342,0.38540780300060656,0.08240085574546153
OraclePerfectV2_B05,JILONG_EI_0069,510,0.5288007093206152,0.386470429830635,0.0847288278558657
OraclePerfectV2_B05,JILONG_EI_0069,520,0.5252754353954922,0.38754404648351104,0.0871806002023272
OraclePerfectV2_B05,JILONG_EI_0069,530,0.5221022453794489,0.38830713029154923,0.08959064066492704
OraclePerfectV2_B05,JILONG_EI_0069,540,0.5193440698556439,0.38861764837791934,0.0920383142658989
OraclePerfectV2_B05,JILONG_EI_0069,550,0.5156827999293226,0.3896621306745969,0.09465506939608051
OraclePerfectV2_B05,JILONG_EI_0069,560,0.51292572064395,0.39010686004620715,0.09696732311175171
OraclePerfectV2_B05,JILONG_EI_0069,570,0.5095495484029038,0.39115388348047164,0.09929652834235149
OraclePerfectV2_B05,JILONG_EI_0069,580,0.5061034787030589,0.3916989245923233,0.10219762835641161
OraclePerfectV2_B05,JILONG_EI_0069,590,0.5023815123888856,0.3925722938780688,0.10504620946360553
OraclePerfectV2_B05,JILONG_EI_0069,600,0.4990463666007097,0.39331634506545665,0.10763731181385887
OraclePerfectV2_B05,JILONG_EI_0069,610,0.4965436003302078,0.39425258903735255,0.10920384177706763
OraclePerfectV2_B05,JILONG_EI_0069,620,0.49327321547375547,0.39375442121977505,0.11297241746911986
OraclePerfectV2_B05,JILONG_EI_0069,630,0.49229645507778835,0.3935536823261151,0.11414990876676304
OraclePerfectV2_B05,JILONG_EI_0069,640,0.4906846260005655,0.39288378886109887,0.11643159277892333
OraclePerfectV2_B05,JILONG_EI_0069,650,0.4892795965258902,0.3920335762788227,0.11868678930168394
OraclePerfectV2_B05,JILONG_EI_0069,660,0.48773693747338176,0.39094832031610555,0.12131474221051265
OraclePerfectV2_B05,JILONG_EI_0069,670,0.486315394487426,0.3906753080812545,0.12300934976353613
OraclePerfectV2_B05,JILONG_EI_0069,680,0.48439929573332324,0.38927934303921335,0.12632142062115825
OraclePerfectV2_B05,JILONG_EI_0069,690,0.4825060321993993,0.3883731537885419,0.12912072558067583
OraclePerfectV2_B05,JILONG_EI_0069,700,0.48142511161156154,0.3878078615489532,0.1307669389886471
OraclePerfectV2_B05,JILONG_EI_0069,710,0.4805080648195326,0.38609934519062533,0.13339258998984205
OraclePerfectV2_B05,JILONG_EI_0069,720,0.47969556250388207,0.3840545932111805,0.13624987309438472
OraclePerfectV2_B05,JILONG_EI_0069,730,0.4790157179875674,0.3816768768361794,0.1393074480993701
OraclePerfectV2_B05,JILONG_EI_0069,740,0.47768529750778144,0.3801609466463418,0.14215378424735736
OraclePerfectV2_B05,JILONG_EI_0069,750,0.47720152531041793,0.3787607310135876,0.14403777190324737
OraclePerfectV2_B05,JILONG_EI_0069,760,0.47684684453986603,0.3768749903129572,0.14627803879444443
OraclePerfectV2_B05,JILONG_EI_0069,770,0.4763021395186614,0.3737314249558715,0.14996650539323256
OraclePerfectV2_B05,JILONG_EI_0069,780,0.47574038619179543,0.37140563476559785,0.15285395125502607
OraclePerfectV2_B05,JILONG_EI_0069,790,0.47503917080193014,0.3704562504978169,0.15450457870025297
OraclePerfectV2_B05,JILONG_EI_0069,800,0.47383780828345384,0.36804456600437935,0.15811772181734787
OraclePerfectV2_B05,JILONG_EI_0069,810,0.47336090070342757,0.364489512561487,0.16214961402807007
OraclePerfectV2_B05,JILONG_EI_0069,820,0.4729750644510893,0.3628353924059968,0.16418951602844634
OraclePerfectV2_B05,JILONG_EI_0069,830,0.4719309336310176,0.36091946537492037,0.16714958752759818
OraclePerfectV2_B05,JILONG_EI_0069,840,0.4719856679512567,0.35951335630147013,0.16850102936270658
OraclePerfectV2_B05,JILONG_EI_0069,850,0.4715291185468018,0.3565617871246565,0.1719090676140825
OraclePerfectV2_B05,JILONG_EI_0069,860,0.47074294384426246,0.3544948755054837,0.1747621540836025
OraclePerfectV2_B05,JILONG_EI_0069,870,0.4696747573220789,0.3532857035522453,0.17703953912567577
OraclePerfectV2_B05,JILONG_EI_0069,880,0.46877642835605166,0.3512072777936415,0.18001630699220444
OraclePerfectV2_B05,JILONG_EI_0069,890,0.4673152836201935,0.3494649641342123,0.18321977836019132
OraclePerfectV2_B05,JILONG_EI_0069,900,0.46742964078136096,0.3462115792235959,0.1863587019259845
OraclePerfectV2_B05,JILONG_EI_0069,910,0.46616830220651906,0.3459980778938537,0.18783356813548457
OraclePerfectV2_B05,JILONG_EI_0069,920,0.4632322721023427,0.3439114793998212,0.1928563898477266
OraclePerfectV2_B05,JILONG_EI_0069,930,0.4622680269917362,0.34176394127425,0.1959679678563515
OraclePerfectV2_B05,JILONG_EI_0069,940,0.4602805958656853,0.34029579059498444,0.19942366430349334
