s_m,x,y,merged_64m_elevation_m,dem_8m_elevation_m,dem_12_5m_elevation_m,merged_source,local_slope,distance_to_component_endpoint_m
2160.0,335471.54488318524,3141709.6845701705,2448.927307855915,nan,2717.0,12.5m,0.3528953021764892,11748.0
2180.0,335484.86216116254,3141693.9730504514,2459.4567120870597,nan,2715.0,12.5m,0.5642133444166006,11728.0
2200.0,335498.17943913984,3141678.2615307323,2471.495841632579,nan,2705.0,12.5m,0.5882367607643346,11708.0
2220.0,335511.49671711714,3141662.550011013,2482.986182517633,nan,2703.0,12.5m,0.41294937850943825,11688.0
2240.0,335524.81399509445,3141646.838491294,2488.0138167729565,nan,2702.0,12.5m,0.052083960948198185,11668.0
2260.0,335538.13127307175,3141631.126971575,2485.069540955561,nan,2699.0,12.5m,-0.18811850586396303,11648.0
2280.0,335551.44855104905,3141615.415451856,2480.489076538398,nan,2699.0,12.5m,-0.2437593819720405,11628.0
2300.0,335564.76582902635,3141599.7039321368,2475.3191656766794,nan,2700.0,12.5m,-0.19907941345994687,11608.0
2320.0,335578.08310700365,3141583.9924124177,2472.5259,nan,2699.0,12.5m,-0.0698316419169828,11588.0
2340.0,335591.40038498095,3141568.2808926986,2472.5259,nan,2694.0,12.5m,0.0,11568.0
2360.0,335604.71766295825,3141552.569372979,2472.5259,nan,2693.0,12.5m,0.0,11548.0
2380.0,335618.03494093555,3141536.85785326,2472.5259,nan,2694.0,12.5m,-0.5134577584866975,11528.0
2400.0,335631.35221891286,3141521.146333541,2451.987589660532,nan,2691.0,12.5m,-1.4403766080453237,11508.0
2420.0,335644.66949689016,3141505.4348138217,2414.910835678187,nan,2680.0,12.5m,-1.6697517953736907,11488.0
2440.0,335657.9867748675,3141489.7232941026,2385.1975178455846,nan,2672.0,12.5m,-1.301579987882178,11468.0
2460.0,335671.3040528448,3141474.0117743835,2362.8476361629,nan,2663.0,12.5m,-0.932902082320993,11448.0
2480.0,335684.6213308221,3141458.3002546644,2347.881434552745,nan,2655.0,12.5m,-0.4009484040725056,11428.0
2500.0,335697.9386087994,3141442.5887349453,2346.8097,nan,2650.0,12.5m,-0.026793363818626403,11408.0
2520.0,335711.2558867767,3141426.877215226,2346.8097,nan,2652.0,12.5m,-1.1368683772161604e-14,11388.0
2540.0,335724.573164754,3141411.165695507,2346.8096999999993,nan,2658.0,12.5m,0.0,11368.0
2560.0,335737.8904427313,3141395.454175788,2346.8097,nan,2664.0,12.5m,-0.0957660040756764,11348.0
2580.0,335751.2077207086,3141379.742656069,2342.9790598369723,nan,2682.0,12.5m,-0.42898995859188743,11328.0
2600.0,335764.5249986859,3141364.03113635,2329.6501016563243,nan,2689.0,12.5m,-0.637554776461991,11308.0
2620.0,335777.8422766632,3141348.3196166307,2317.4768687784926,nan,2694.0,12.5m,-0.57976851132114,11288.0
2640.0,335791.15955464053,3141332.6080969116,2306.4593612034787,nan,2697.0,12.5m,-0.16408408703409805,11268.0
2660.0,335804.47683261783,3141316.8965771925,2310.9135052971287,nan,2702.0,12.5m,0.21388161258045102,11248.0
2680.0,335817.79411059513,3141301.1850574734,2315.0146257066967,nan,2694.0,12.5m,0.22373083307509206,11228.0
2700.0,335831.11138857243,3141285.4735377543,2319.8627386201324,nan,2682.0,12.5m,0.18611584777218013,11208.0
2720.0,335844.42866654973,3141269.762018035,2322.459259617584,nan,2673.0,12.5m,0.22909212730357922,11188.0
