global_step,stage,stage_step,K,total_loss,multi_loss,one_step_anchor,state_loss,wet_loss,integral_loss,amplitude_guard,learning_rate,step_seconds,peak_vram_gib
1100,STAGE_A,1100,1,0.0014704109635204077,0.0009802739368751645,0.0009802739368751645,0.00024166911316569895,0.0025610318407416344,0.00965003203600645,0.0,0.0004975670171853926,0.1768459999584593,2.9902453422546387
1150,STAGE_A,1150,1,0.0018022150034084916,0.0012014766689389944,0.0012014766689389944,0.0005305416998453438,0.002724552294239402,0.007969595491886139,0.0,0.0004971454298742779,0.17879489995539188,2.9902453422546387
1200,STAGE_A,1200,1,0.005247680004686117,0.003498453414067626,0.003498453414067626,0.0028689075261354446,0.005277059506624937,0.002036795951426029,0.0,0.0004966903830281448,0.18065310001838952,2.9902453422546387
1250,STAGE_A,1250,1,0.0005477642989717424,0.00036517620901577175,0.00036517620901577175,0.00014660650049336255,0.0008420879603363574,0.002687218366190791,0.0,0.000496201938253052,0.1761466000461951,2.9902453422546387
1300,STAGE_A,1300,1,0.021099025383591652,0.014066017232835293,0.014066017232835293,0.012411469593644142,0.008692322298884392,0.015706300735473633,0.0,0.0004956801616766034,0.18269330001203343,2.9902453422546387
1350,STAGE_A,1350,1,0.0013837506994605064,0.0009225005051121116,0.0009225005051121116,0.0001355510321445763,0.001510047703050077,0.012718893587589264,0.0,0.0004951251239389948,0.18064490001415834,2.9902453422546387
1400,STAGE_A,1400,1,0.006050235591828823,0.004033490549772978,0.004033490549772978,0.002905395347625017,0.0067946589551866055,0.008972587063908577,0.0,0.0004945369001834514,0.18150870001409203,2.9902453422546387
1450,STAGE_A,1450,1,0.007185070775449276,0.004790047183632851,0.004790047183632851,0.003354503307491541,0.005394317209720612,0.017922239378094673,0.0,0.0004939155700460536,0.18271540000569075,2.9902453422546387
1500,STAGE_A,1500,1,0.007146753370761871,0.00476450240239501,0.00476450240239501,0.00015819762484170496,0.03688804432749748,0.01835000514984131,0.0,0.0004932612176449559,0.17868620000081137,2.9902453422546387
1550,STAGE_A,1550,1,0.004416717682033777,0.0029444785322993994,0.0029444785322993994,0.0017671692185103893,0.0037625348195433617,0.016021117568016052,0.0,0.0004925739315689991,0.1833978000213392,2.9902453422546387
