support_cell_count,support_fraction,blocked_local_change_cell_count,blocked_local_change_fraction,blocked_wet_creation_count,raw_local_new_wet_fraction,method,scenario_id,time_s,budget,mean_support_fraction,mean_blocked_new_wet_cells_per_step,total_blocked_new_wet_cells,fraction_steps_with_blocked_new_wet,mean_blocked_local_change_fraction
12140.0,0.0929619958496374,8783.0,0.8699484944532488,619.0,0.0047399897389559,LearnedSupportGuard_B10,JILONG_EI_0009,830.0,B10,,,,,
12100.0,0.092655696028057,15004.0,0.9338976721025768,1368.0,0.0104754538980481,LearnedSupportGuard_B10,JILONG_EI_0009,840.0,B10,,,,,
12056.0,0.0923187662243186,13428.0,0.9336021692275605,1120.0,0.0085763950042499,LearnedSupportGuard_B10,JILONG_EI_0009,850.0,B10,,,,,
12013.0,0.0919894939161198,13630.0,0.8777126666237363,445.0,0.0034075855150814,LearnedSupportGuard_B10,JILONG_EI_0009,860.0,B10,,,,,
11921.0,0.0912850043264849,11351.0,0.9182914003721382,1258.0,0.0096331293887021,LearnedSupportGuard_B10,JILONG_EI_0009,870.0,B10,,,,,
11889.0,0.0910399644692206,11424.0,0.8567571621418929,807.0,0.0061795989003836,LearnedSupportGuard_B10,JILONG_EI_0009,880.0,B10,,,,,
11794.0,0.0903125023929673,13727.0,0.9333650642551166,890.0,0.0068151710301628,LearnedSupportGuard_B10,JILONG_EI_0009,890.0,B10,,,,,
11790.0,0.0902818724108093,10385.0,0.9557334805816308,793.0,0.0060723939628305,LearnedSupportGuard_B10,JILONG_EI_0009,900.0,B10,,,,,
11765.0,0.0900904350223216,14745.0,0.8339460437758045,1169.0,0.0089516122856858,LearnedSupportGuard_B10,JILONG_EI_0009,910.0,B10,,,,,
11627.0,0.0890337006378693,14567.0,0.9462777705599584,1232.0,0.0094340345046749,LearnedSupportGuard_B10,JILONG_EI_0009,920.0,B10,,,,,
11615.0,0.0889418106913952,6938.0,0.9445881552076242,746.0,0.0057124916724736,LearnedSupportGuard_B10,JILONG_EI_0009,930.0,B10,,,,,
11601.0,0.0888346057538421,14842.0,0.9025235633931286,1287.0,0.0098551967593478,LearnedSupportGuard_B10,JILONG_EI_0009,940.0,B10,,,,,
11549.0,0.0884364159857876,8636.0,0.9086700336700336,921.0,0.0070525533918876,LearnedSupportGuard_B10,JILONG_EI_0009,950.0,B10,,,,,
11507.0,0.0881148011731283,13033.0,0.933462254691305,1147.0,0.0087831473838166,LearnedSupportGuard_B10,JILONG_EI_0009,960.0,B10,,,,,
11487.0,0.0879616512623381,10876.0,0.9484608005581232,324.0,0.0024810285548008,LearnedSupportGuard_B10,JILONG_EI_0009,970.0,B10,,,,,
11473.0,0.087854446324785,10310.0,0.9419826404751028,1144.0,0.0087601748971981,LearnedSupportGuard_B10,JILONG_EI_0009,980.0,B10,,,,,
11450.0,0.0876783239273763,8237.0,0.917976150674245,711.0,0.0054444793285907,LearnedSupportGuard_B10,JILONG_EI_0009,990.0,B10,,,,,
11361.0,0.08699680682436,15783.0,0.9518152213243276,759.0,0.0058120391144872,LearnedSupportGuard_B10,JILONG_EI_0009,1000.0,B10,,,,,
11310.0,0.086606274551845,15848.0,0.92999237133971,824.0,0.0063097763245552,LearnedSupportGuard_B10,JILONG_EI_0009,1010.0,B10,,,,,
11305.0,0.0865679870741475,9580.0,0.9192093648052198,859.0,0.0065777886684381,LearnedSupportGuard_B10,JILONG_EI_0009,1020.0,B10,,,,,
11308.0,0.086590959560766,15668.0,0.8932215951200045,1116.0,0.0085457650220918,LearnedSupportGuard_B10,JILONG_EI_0009,1030.0,B10,,,,,
11197.0,0.0857409775558805,17477.0,0.8809415797167196,1667.0,0.0127650450643612,LearnedSupportGuard_B10,JILONG_EI_0009,1040.0,B10,,,,,
11127.0,0.0852049528681149,12068.0,0.9322518346852068,755.0,0.0057814091323291,LearnedSupportGuard_B10,JILONG_EI_0009,1050.0,B10,,,,,
11076.0,0.0848144205956,10815.0,0.9242009912835412,487.0,0.0037292003277408,LearnedSupportGuard_B10,JILONG_EI_0009,1060.0,B10,,,,,
11087.0,0.0848986530465346,9741.0,0.913618458075408,585.0,0.0044796348906126,LearnedSupportGuard_B10,JILONG_EI_0009,1070.0,B10,,,,,
11057.0,0.0846689281803493,7639.0,0.9280767828939376,692.0,0.0052989869133401,LearnedSupportGuard_B10,JILONG_EI_0009,1080.0,B10,,,,,
11049.0,0.0846076682160332,16140.0,0.9092445496028392,1117.0,0.0085534225176313,LearnedSupportGuard_B10,JILONG_EI_0009,1090.0,B10,,,,,
10977.0,0.0840563285371886,8532.0,0.8345886726009978,865.0,0.0066237336416751,LearnedSupportGuard_B10,JILONG_EI_0009,1100.0,B10,,,,,
10904.0,0.0834973313628044,16614.0,0.9209534368070952,749.0,0.0057354641590921,LearnedSupportGuard_B10,JILONG_EI_0009,1110.0,B10,,,,,
