time_s,gyirong_cctv_arrival_Q,gyirong_cctv_arrival_Qdebris,gyirong_cctv_arrival_hmax,gyirong_cctv_arrival_stage,gyirong_cctv_arrival_cmax,gyirong_cctv_arrival_wet_width_m,rasuwagadhi_signal_loss_Q,rasuwagadhi_signal_loss_Qdebris,rasuwagadhi_signal_loss_hmax,rasuwagadhi_signal_loss_stage,rasuwagadhi_signal_loss_cmax,rasuwagadhi_signal_loss_wet_width_m,syabrubesi_signal_loss_Q,syabrubesi_signal_loss_Qdebris,syabrubesi_signal_loss_hmax,syabrubesi_signal_loss_stage,syabrubesi_signal_loss_cmax,syabrubesi_signal_loss_wet_width_m,method,series_role
760,9147.375,3571.095703125,1.0259735584259033,1809.27099609375,0.42939016222953796,90.0,7458.77734375,85.57862854003906,2.2339324951171875,1772.14892578125,0.01976703479886055,60.0,7624.3935546875,61.813438415527344,2.2875213623046875,1438.716064453125,0.011968236416578293,60.0,FrozenGlobal,frozen_method
770,9000.6123046875,3508.26611328125,1.0218318700790405,1809.26416015625,0.428869366645813,90.0,7432.8876953125,69.0208511352539,2.231433391571045,1772.14404296875,0.01769281178712845,60.0,7838.3505859375,71.75141143798828,2.2855961322784424,1438.710693359375,0.013370352797210217,60.0,FrozenGlobal,frozen_method
780,8859.447265625,3446.456298828125,1.0175985097885132,1809.257080078125,0.42818596959114075,90.0,7410.02734375,56.10633850097656,2.2289106845855713,1772.138916015625,0.015605494379997253,60.0,8053.71484375,82.74568939208984,2.2838430404663086,1438.7054443359375,0.014845754951238632,60.0,FrozenGlobal,frozen_method
790,8726.11328125,3387.6005859375,1.0133243799209595,1809.25,0.4274331331253052,90.0,7388.12158203125,48.10822677612305,2.2263989448547363,1772.134033203125,0.013466335833072662,60.0,8269.6904296875,94.88414001464844,2.282208204269409,1438.7005615234375,0.016399621963500977,60.0,FrozenGlobal,frozen_method
800,8598.17578125,3329.845703125,1.0089508295059204,1809.2427978515625,0.42652732133865356,90.0,7367.7138671875,40.07973861694336,2.223944902420044,1772.129150390625,0.011289999820291996,60.0,8485.6259765625,107.83848571777344,2.2806787490844727,1438.6956787109375,0.01798250526189804,60.0,FrozenGlobal,frozen_method
810,8475.79296875,3274.098388671875,1.004573106765747,1809.2357177734375,0.42558369040489197,90.0,7349.109375,31.9565486907959,2.221453905105591,1772.1241455078125,0.009056458249688148,60.0,8701.298828125,121.7070083618164,2.2793240547180176,1438.69091796875,0.01960621401667595,60.0,FrozenGlobal,frozen_method
820,8356.841796875,3218.908203125,1.0001003742218018,1809.228515625,0.4245099127292633,90.0,7332.140625,23.803638458251953,2.218977689743042,1772.119140625,0.006785203702747822,60.0,8918.3818359375,136.957275390625,2.278071403503418,1438.686279296875,0.021323617547750473,60.0,FrozenGlobal,frozen_method
830,8245.7568359375,3166.19873046875,0.9955720901489258,1809.22119140625,0.42331233620643616,90.0,7316.72998046875,15.643062591552734,2.2165145874023438,1772.1143798828125,0.004483874887228012,60.0,9134.263671875,153.2514190673828,2.27693510055542,1438.6817626953125,0.023083383217453957,60.0,FrozenGlobal,frozen_method
840,8143.13330078125,3116.71435546875,0.9909504652023315,1809.2137451171875,0.42205509543418884,90.0,7302.6953125,7.440792083740234,2.2140629291534424,1772.1094970703125,0.0021443043369799852,60.0,9349.728515625,170.31396484375,2.275923728942871,1438.6773681640625,0.02486228197813034,60.0,FrozenGlobal,frozen_method
850,8046.087890625,3069.31689453125,0.9863818883895874,1809.206298828125,0.42068591713905334,90.0,7291.73828125,0.0,2.211597442626953,1772.1046142578125,0.0,60.0,9563.732421875,188.56216430664062,2.275059461593628,1438.6732177734375,0.02669522725045681,60.0,FrozenGlobal,frozen_method
860,7952.6796875,3022.52685546875,0.9817587733268738,1809.1988525390625,0.4192015826702118,90.0,7283.0078125,0.0,2.209137439727783,1772.099853515625,0.0,60.0,9777.5751953125,207.8533935546875,2.2743074893951416,1438.6690673828125,0.0285644568502903,60.0,FrozenGlobal,frozen_method
870,7865.6259765625,2977.85791015625,0.9770640730857849,1809.1912841796875,0.4176330864429474,90.0,7274.6708984375,0.0,2.2067055702209473,1772.0950927734375,0.0,60.0,9990.408203125,228.3123779296875,2.273681163787842,1438.6651611328125,0.03048216924071312,60.0,FrozenGlobal,frozen_method
880,7780.69775390625,2933.124267578125,0.972320556640625,1809.1837158203125,0.41595131158828735,90.0,7269.697265625,0.0,2.204277992248535,1772.09033203125,0.0,60.0,10202.677734375,249.84066772460938,2.273158311843872,1438.6612548828125,0.032441213726997375,60.0,FrozenGlobal,frozen_method
890,7701.25048828125,2890.478515625,0.9675270318984985,1809.1761474609375,0.4141775965690613,90.0,7265.93505859375,0.0,2.201890230178833,1772.0855712890625,0.0,60.0,10413.279296875,272.35699462890625,2.272742748260498,1438.657470703125,0.03442896902561188,60.0,FrozenGlobal,frozen_method
