case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,6564.004030557351,0.33307194646566857,62.45849543037865,50.602318314373974,50.25370426432737,16351370.829552904,6659196.68236364,False,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,12016.769096386,0.6097571930987875,61.37593140328592,51.81062335702436,50.37214089980062,21820637.31356003,13094855.71888912,False,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,15493.422714979744,0.7861702151720851,84.57995653069989,41.790549664295206,36.736198607910815,24365517.815261547,16707270.283948347,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,16270.178394522243,0.8255845002500782,74.23655021452005,41.09661145018228,33.16817543776411,24645618.086010113,17170539.904369764,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,16670.178394522165,0.8458813766636244,66.77813504603799,33.05523165330078,26.81228351231205,24786110.145390194,17472382.830278534,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,17128.954505154416,0.8691606817111043,67.98738828257014,29.93812946382556,23.447387910325386,24865521.620595198,17682372.4713806,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,17308.954505154354,0.8782942760971988,65.72274633896818,29.536752279595632,22.668583630261683,24899565.983387917,17796512.778727017,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,17388.954505154434,0.8823536513799128,68.69963263102245,28.68888145445669,21.26744495815733,24943897.21486707,17675283.74255813,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,17848.95450515439,0.9056950592554932,72.25440540046884,30.74832738930618,20.53714100407314,24992993.977336377,17716753.13885498,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,18128.95450515445,0.9199028727449813,74.0144696031153,30.016338180673014,20.37960304922702,25017820.425587226,17626121.47387568,True,False
RECON_B_rate060,10000000.0,8.0,0.6,38.0,0.025,18208.954505154226,0.92396224802768,75.08881498773077,30.951123395380574,18.75302453258554,25067663.696374618,17661370.72176452,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,2768.28905749058,0.14046905219217362,43.40734188811472,50.370572386671235,50.29262261128293,11045764.773256414,1060585.3846758455,False,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,6564.004030557351,0.33307194646566857,56.63403782760677,50.41716403427919,50.19018715497379,14726342.632677095,4844006.921717286,False,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,11956.769096385957,0.6067126616367527,50.33078306996011,51.36408618937252,50.359005522309296,20571169.699874133,11472617.35714362,False,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,15313.422714979826,0.7770366207859917,86.01932801019205,42.04074983660293,37.97524978804039,23615508.003783904,15648961.521793725,True,False
RECON_C_phi36,10000000.0,8.0,0.4,36.0,0.025,16031.700040707938,0.8134835860633886,72.94934902420238,42.19004437083352,34.67059351028922,24064231.52119609,16399554.662202919,True,False
