chainage_m,route_z30,route_z32,route_z64
14580.0,2171.8557,2160.9434,2171.33374
14590.0,2171.8557,2160.9434,2171.33374
14600.0,2173.647,2158.3862,2171.33374
14610.0,2173.647,2158.3862,2171.33374
14620.0,2173.647,2158.3862,2171.33374
14630.0,2173.7869,2158.4497,2164.546631
14640.0,2173.7869,2158.4497,2164.546631
14650.0,2173.7869,2158.4497,2164.546631
14660.0,2165.1123,2152.2666,2164.546631
14670.0,2165.1123,2152.2666,2164.546631
14680.0,2165.1123,2152.2666,2164.546631
14690.0,2149.9734,2152.2666,2164.546631
14700.0,2149.9734,2141.7285,2145.091797
14710.0,2149.9734,2141.7285,2145.091797
14720.0,2140.8906,2141.7285,2145.091797
14730.0,2140.8906,2134.8323,2145.091797
14740.0,2140.8906,2134.8323,2145.091797
14750.0,2128.2212,2134.8323,2145.091797
14760.0,2128.2212,2134.8323,2145.091797
14770.0,2128.2212,2132.3599,2141.85498
14780.0,2128.2212,2128.8535,2131.259033
14790.0,2125.9197,2128.8535,2131.259033
14800.0,2125.9197,2128.8535,2131.259033
14810.0,2125.9197,2122.691,2131.259033
14820.0,2125.9197,2122.691,2131.259033
14830.0,2116.6133,2129.4229,2131.259033
14840.0,2123.8809,2129.4229,2131.259033
14850.0,2123.8809,2114.612,2113.306641
14860.0,2123.8809,2114.612,2113.306641
14870.0,2108.9941,2125.4878,2126.209961
14880.0,2119.8696,2125.4878,2126.209961
14890.0,2119.8696,2125.4878,2126.209961
14900.0,2119.8696,2109.5388,2126.209961
14910.0,2105.6443,2109.5388,2126.209961
14920.0,2105.6443,2123.5564,2126.209961
14930.0,2118.7168,2123.5564,2126.209961
14940.0,2118.7168,2107.687,2112.129883
14950.0,2103.7275,2107.687,2112.129883
14960.0,2103.7275,2107.687,2112.129883
14970.0,2109.1785,2116.666,2116.3396
14980.0,2109.1785,2097.1108,2116.3396
14990.0,2092.3293,2097.1108,2116.3396
15000.0,2092.3293,2097.1108,2116.3396
15010.0,2092.3293,2097.1108,2116.3396
15020.0,2101.2666,2108.8333,2116.3396
15030.0,2092.6912,2095.262,2104.97583
15040.0,2092.6912,2095.262,2104.97583
15050.0,2092.6912,2095.262,2104.97583
15060.0,2106.4868,2095.262,2104.97583
15070.0,2104.5854,2106.0205,2119.081055
15080.0,2104.5854,2106.0205,2119.081055
15090.0,2104.5854,2106.0205,2119.081055
15100.0,2104.5854,2106.0205,2119.081055
15110.0,2107.2725,2107.019,2113.283203
15120.0,2107.2725,2107.019,2113.283203
15130.0,2107.2725,2107.019,2113.283203
15140.0,2107.2725,2107.019,2113.283203
15150.0,2099.136,2108.0024,2113.283203
15160.0,2099.136,2099.7776,2112.334229
15170.0,2099.136,2099.7776,2112.334229
15180.0,2099.136,2099.7776,2112.334229
15190.0,2099.1829,2099.7776,2112.334229
15200.0,2096.167,2098.5374,2098.58667
15210.0,2096.167,2098.62,2098.58667
15220.0,2096.167,2098.62,2098.58667
15230.0,2096.167,2098.62,2098.58667
15240.0,2093.7603,2092.009,2098.58667
15250.0,2093.7603,2092.009,2098.58667
15260.0,2093.7603,2095.0237,2110.219971
15270.0,2093.7603,2095.0237,2110.219971
15280.0,2084.5605,2083.6025,2083.397461
15290.0,2086.077,2083.6025,2083.397461
15300.0,2086.077,2087.2812,2083.397461
15310.0,2086.077,2087.2812,2083.397461
15320.0,2074.8662,2087.2812,2083.397461
15330.0,2081.0117,2076.925,2083.397461
15340.0,2081.0117,2076.925,2083.397461
15350.0,2081.0117,2085.482,2099.407471
15360.0,2075.6182,2085.482,2099.407471
15370.0,2075.6182,2079.6902,2083.313232
15380.0,2083.6375,2079.6902,2083.313232
15390.0,2083.6375,2079.6902,2083.313232
15400.0,2079.0054,2084.0425,2083.313232
15410.0,2079.0054,2080.5967,2083.313232
15420.0,2079.0488,2080.5967,2083.313232
15430.0,2079.0488,2080.5967,2083.313232
15440.0,2078.3584,2080.5967,2083.313232
15450.0,2078.3584,2079.0862,2090.248535
15460.0,2078.3584,2077.602,2077.679199
15470.0,2073.5764,2077.602,2077.679199
15480.0,2073.8594,2077.602,2077.679199
15490.0,2073.8594,2077.602,2077.679199
15500.0,2073.8594,2071.2722,2077.679199
15510.0,2068.7083,2071.2722,2077.679199
15520.0,2067.2654,2071.2722,2077.679199
15530.0,2067.2654,2071.2722,2077.679199
15540.0,2067.2654,2065.95,2067.63208
15550.0,2067.2654,2065.95,2067.63208
15560.0,2063.9841,2065.95,2067.63208
15570.0,2063.9841,2065.95,2067.63208
15580.0,2063.9841,2065.95,2067.63208
15590.0,2063.9841,2064.0034,2067.63208
15600.0,2062.5647,2064.0034,2067.63208
15610.0,2062.5647,2064.0034,2067.63208
15620.0,2062.5647,2064.0034,2067.63208
15630.0,2062.5647,2067.5784,2084.332764
15640.0,2061.2815,2062.0725,2064.702148
15650.0,2061.2815,2062.0725,2064.702148
15660.0,2061.2815,2062.0725,2064.702148
15670.0,2061.2815,2069.0693,2064.702148
