case,V_m3,time_s,instantaneous_reach_m,historical_reach_m,historical_fraction,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,local_sill_crossed,R3_reached,R4_reached_h010,source_injected_analytic_m3
V2,2000000.0,840,14435.312244148674,14435.312244148674,0.7324793715262312,44.94264193886973,29.488125457369353,21.052243410593707,6869264.651403256,6623109.749032176,False,False,False,2000000.0
V2,2000000.0,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.21271126363774,29.088204076401823,20.202749783812827,6868305.331594287,6608185.733473064,False,False,False,2000000.0
V2,2000000.0,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.49739950438772,28.83244097107105,19.7489888881735,6866911.756508544,6589965.918775568,False,False,False,2000000.0
V4,4000000.0,90,2268.3721406968366,2268.3721406968366,0.11510217249915955,26.69084448016573,45.20730792940096,43.75464387320992,4357318.464992581,363143.9051695171,False,False,False,4000000.0
V4,4000000.0,180,5286.535324602617,5286.535324602617,0.26825038534831597,17.31952432090197,49.07269938979942,47.5049628700609,5310496.531230112,1352280.2855715295,False,False,False,4000000.0
V4,4000000.0,300,9738.329285249287,9738.329285249287,0.49414416494290164,20.79942924584988,45.87305731902859,43.89838321735875,7372365.935264412,3762307.9079428567,False,False,False,4000000.0
V4,4000000.0,420,13195.658657199627,13195.658657199627,0.6695766324014338,41.83452133554886,39.998759978088366,35.297404569697285,9009370.846610392,6137422.544621829,False,False,False,4000000.0
V4,4000000.0,540,14435.312244148674,14435.312244148674,0.7324793715262312,54.49453280786075,33.15075096507254,28.429796201691797,9482775.943763386,7039928.053716285,False,False,False,4000000.0
V4,4000000.0,600,14435.312244148674,14435.312244148674,0.7324793715262312,53.2569107063203,32.88042908200035,26.34206230084619,9511445.912979186,7160851.962463282,False,False,False,4000000.0
V4,4000000.0,660,14853.42271497948,14853.42271497948,0.7536952129103915,51.33814412131422,32.539408784215766,24.241701673922037,9506510.65371402,7223352.855747638,True,True,False,4000000.0
V4,4000000.0,690,14853.42271497948,14853.42271497948,0.7536952129103915,50.35327696525426,32.279259913342536,22.709145579115216,9508363.808859263,7261113.28633868,True,True,False,4000000.0
V4,4000000.0,720,15033.422714979744,15033.422714979744,0.7628288072965025,49.30055901081739,32.10106348468641,21.16353640893819,9510839.768316766,7267665.498880476,True,True,False,4000000.0
V4,4000000.0,750,15033.422714979744,15033.422714979744,0.7628288072965025,47.85183236917447,31.88968564037225,21.188902354879826,9512352.814950403,7253014.251090487,True,True,False,4000000.0
V4,4000000.0,780,15133.422714979562,15133.422714979562,0.7679030263998807,46.76771221072661,30.72449895711799,18.72701066752946,9511945.507535392,7256382.363498434,True,True,False,4000000.0
V4,4000000.0,810,15213.422714979662,15213.422714979662,0.7719624016825959,47.26485197181468,31.83460631365037,18.647696038563016,9514730.888474086,7241564.047835572,True,True,False,4000000.0
V4,4000000.0,840,15313.422714979826,15313.422714979826,0.7770366207859917,46.58752487325453,30.84431271752356,17.19331829597509,9524117.855522227,7199081.946158856,True,True,False,4000000.0
V4,4000000.0,870,15393.422714979542,15393.422714979542,0.7810959960686873,46.50994846994666,30.592520652704717,17.59060715232648,9533405.686889403,7179014.286160581,True,True,False,4000000.0
V4,4000000.0,900,15493.422714979744,15493.422714979744,0.7861702151720851,47.74696516523649,24.576603533047358,17.200179419977317,9546326.269904008,7169917.55735761,True,True,False,4000000.0
V6,6000000.0,90,2488.3721406970203,2488.3721406970203,0.12626545452662144,32.52058572801372,50.184644086502004,48.70311648603561,6418344.9364861315,423878.783918183,False,False,False,6000000.0
V6,6000000.0,180,5764.29789913417,5764.29789913417,0.2924931051740321,20.82324483474187,50.96184428379444,50.18887762717678,7763967.57889142,1754117.6804226637,False,False,False,6000000.0
V6,6000000.0,300,10677.695727603259,10677.695727603259,0.5418096764116387,24.67436973208872,50.22530854591825,49.14162661841355,10295261.195019556,4555256.331719667,False,False,False,6000000.0
V6,6000000.0,420,14155.611321881272,14155.611321881272,0.7182867338961876,60.92725656780806,40.544732773538534,35.96503822935985,12024420.336205866,6899507.643070618,False,False,False,6000000.0
V6,6000000.0,540,15093.422714979704,15093.422714979704,0.7658733387585329,56.40698338043737,37.16571549460802,27.324264724892974,12402131.442580963,7564822.853863767,True,True,False,6000000.0
V6,6000000.0,600,15313.422714979826,15313.422714979826,0.7770366207859917,53.0464275030611,33.63808331587906,25.59363780107649,12418927.631513786,7685288.800847065,True,True,False,6000000.0
V6,6000000.0,660,15493.422714979744,15493.422714979744,0.7861702151720851,51.67834921096592,33.41854158820668,22.463306822711857,12429582.635797884,7754940.227704878,True,True,False,6000000.0
V6,6000000.0,690,15573.422714979806,15573.422714979806,0.7902295904547982,51.31348389227804,33.025617943000206,21.417730707954664,12427987.960551254,7753924.100476641,True,True,False,6000000.0
V6,6000000.0,720,15673.422714979624,15673.422714979624,0.7953038095581766,52.38405858873125,32.39729643400432,20.475528986308124,12425735.154415142,7776455.353178107,True,True,False,6000000.0
V6,6000000.0,750,15953.422714979706,15953.422714979706,0.8095116230476658,53.14846106316892,30.50430341302265,19.82338183869117,12428482.596641561,7798461.288193517,True,True,False,6000000.0
V6,6000000.0,780,16031.700040707938,16031.700040707938,0.8134835860633886,53.10499485889879,30.200528520471217,18.411241650786945,12434472.076158766,7749410.166183284,True,True,False,6000000.0
V6,6000000.0,810,16091.700040707938,16091.700040707938,0.8165281175254211,52.52272167504546,29.65048826735869,18.967217402625682,12439305.459362157,7743217.865218531,True,True,False,6000000.0
V6,6000000.0,840,16270.178394522243,16270.178394522243,0.8255845002500782,51.94865015950372,28.319284669406883,19.897300342698593,12441102.179174555,7721384.530398836,True,True,False,6000000.0
V6,6000000.0,870,16350.17839452217,16350.17839452217,0.8296438755327845,52.0008648231475,26.76243603949363,18.2636042031384,12446470.49507572,7727737.059825241,True,True,False,6000000.0
V6,6000000.0,900,16450.178394522387,16450.178394522387,0.8347180946361831,51.78024446460813,27.164624208620527,17.30894271157028,12452905.688743396,7636662.694974758,True,True,False,6000000.0
V10,10000000.0,90,2768.28905749058,2768.28905749058,0.14046905219217362,42.3828597209926,50.76966082342392,50.59596067323524,10505592.505525364,510742.93134482607,False,False,False,10000000.0
V10,10000000.0,180,6544.00403055726,6544.00403055726,0.33205710264498645,43.76956201193236,50.79083488351593,50.375041417298114,12261665.572438825,2282067.5687948978,False,False,False,10000000.0
V10,10000000.0,300,11757.313119347922,11757.313119347922,0.5965918283470406,38.63088756085039,50.82078671194271,49.9635090739556,15290821.633713258,5440236.437161734,False,False,False,10000000.0
V10,10000000.0,420,15033.422714979744,15033.422714979744,0.7628288072965025,76.01547717464054,40.49649300411874,36.847990168119196,17091266.490227517,7609273.002457377,True,True,False,10000000.0
V10,10000000.0,540,16031.700040707938,16031.700040707938,0.8134835860633886,59.61919560558589,37.77485883861457,27.8868210599672,17450519.792856112,8052799.5683253985,True,True,False,10000000.0
V10,10000000.0,600,16350.17839452217,16350.17839452217,0.8296438755327845,57.77849766189775,30.04988048108409,24.199789804576874,17497975.857956942,8132289.873500975,True,True,False,10000000.0
V10,10000000.0,660,16590.178394522238,16590.178394522238,0.841822001380918,59.48681200685616,30.29300303929699,22.043683559025826,17524661.6589562,8159820.964510404,True,True,False,10000000.0
V10,10000000.0,690,16630.1783945222,16630.1783945222,0.8438516890222711,60.13130662983033,33.335425752672016,21.49415318164706,17526467.491483595,8136818.184701463,True,True,False,10000000.0
V10,10000000.0,720,16670.178394522165,16670.178394522165,0.8458813766636244,59.11239692885587,29.38905201550448,21.055077731677645,17527462.457921717,8167318.462252103,True,True,False,10000000.0
V10,10000000.0,750,16670.178394522165,16670.178394522165,0.8458813766636244,58.03928546305505,28.71684050481526,20.46826423653565,17530984.653381325,8152046.987857513,True,True,False,10000000.0
V10,10000000.0,780,16670.178394522165,16670.178394522165,0.8458813766636244,57.5774720163269,27.20960941972131,19.911266977598554,17537749.461596657,8137166.780594913,True,True,False,10000000.0
V10,10000000.0,810,16710.17839452213,16710.17839452213,0.8479110643049775,57.05296480021281,26.506335616675514,19.613552427118513,17540513.288981117,8141330.670215875,True,True,False,10000000.0
V10,10000000.0,840,16710.17839452213,16710.17839452213,0.8479110643049775,56.34576794439279,26.421811016113562,18.947716374042773,17542319.048651043,8140285.970281059,True,True,False,10000000.0
V10,10000000.0,870,16770.178394522423,16770.178394522423,0.850955595767025,55.56915562455732,28.349438496055868,17.400871358955587,17542201.730466288,8120858.382078364,True,True,False,10000000.0
V10,10000000.0,900,16770.178394522423,16770.178394522423,0.850955595767025,54.69470021485539,24.935711803550475,16.31535865056793,17542592.087339513,8131992.721456938,True,True,False,10000000.0
