chainage_m,x,y,z30,z32,z64
14130.0,344434.8833672262,3133083.799262537,2131.9849,2140.3567,2149.125732
14140.0,344435.5714175055,3133073.822961278,2131.9849,2140.3567,2149.125732
14150.0,344436.2594677847,3133063.846660019,2131.9849,2140.3567,2149.125732
14160.0,344436.947518064,3133053.8703587595,2130.3289,2140.3567,2149.125732
14170.0,344437.6355683433,3133043.8940575006,2130.3289,2138.7664,2149.125732
14180.0,344438.32361862255,3133033.9177562413,2130.3289,2138.7664,2149.125732
14190.0,344439.01166890183,3133023.9414549824,2130.7407,2138.7664,2149.125732
14200.0,344439.6997191811,3133013.965153723,2130.7407,2137.754,2144.72876
14210.0,344440.3877694604,3133003.988852464,2130.7407,2137.754,2144.72876
14220.0,344441.07581973966,3132994.0125512048,2132.3198,2137.754,2144.72876
14230.0,344441.76387001894,3132984.036249946,2132.3198,2138.055,2144.72876
14240.0,344442.4519202982,3132974.0599486865,2140.2917,2138.055,2144.72876
14250.0,344443.1399705775,3132964.0836474276,2140.8005,2138.055,2144.72876
14260.0,344443.8280208568,3132954.1073461683,2140.8005,2140.739,2145.358154
14270.0,344444.51607113605,3132944.1310449094,2140.8005,2140.739,2145.358154
14280.0,344445.2041214153,3132934.15474365,2143.3274,2140.739,2145.358154
14290.0,344445.8921716946,3132924.1784423906,2143.3274,2140.739,2145.358154
14300.0,344446.5802219739,3132914.2021411317,2143.3274,2143.8323,2145.358154
14310.0,344447.26827225316,3132904.2258398724,2145.0444,2143.8323,2145.358154
14320.0,344447.9563225324,3132894.2495386135,2145.0444,2143.8323,2145.358154
14330.0,344448.64437281166,3132884.273237354,2145.0444,2146.8909,2151.718018
14340.0,344449.18043177965,3132874.28909868,2148.2124,2146.8909,2151.718018
14350.0,344449.5221561102,3132864.2949391613,2148.2124,2146.8909,2151.718018
14360.0,344446.38885079673,3132855.671147341,2148.2124,2153.7703,2151.718018
14370.0,344439.3175831662,3132848.600279353,2154.905,2153.7703,2151.718018
14380.0,344432.2463155356,3132841.5294113657,2154.905,2153.7703,2151.718018
14390.0,344425.17504790495,3132834.4585433784,2154.905,2151.288,2152.547119
14400.0,344418.1037802744,3132827.3876753906,2154.905,2159.812,2163.228027
14410.0,344411.03251264384,3132820.316807403,2149.9292,2159.812,2163.228027
14420.0,344403.96124501334,3132813.2459394154,2155.6301,2159.812,2163.228027
14430.0,344396.8899773828,3132806.175071428,2155.6301,2155.3337,2163.228027
14440.0,344389.8187097523,3132799.1042034407,2155.6301,2155.3337,2163.228027
14450.0,344382.74744212173,3132792.033335453,2155.6301,2162.8853,2163.228027
14460.0,344375.67617449124,3132784.9624674655,2161.817,2162.8853,2163.228027
14470.0,344368.60490686074,3132777.8915994777,2161.817,2162.8853,2163.228027
14480.0,344361.5336392301,3132770.8207314904,2161.817,2166.913,2175.796387
14490.0,344354.4623715995,3132763.749863503,2161.817,2171.9578,2174.341797
14500.0,344347.3911039689,3132756.678995515,2172.346,2171.9578,2174.341797
14510.0,344340.3198363384,3132749.608127528,2172.346,2171.9578,2174.341797
14520.0,344335.0239991122,3132741.4241247806,2172.346,2171.9578,2174.341797
14530.0,344331.74010962294,3132731.978698913,2172.346,2170.0981,2174.341797
14540.0,344330.485344,3132722.190600245,2172.058,2170.0981,2174.341797
14550.0,344330.485344,3132712.190600245,2172.058,2170.0981,2174.341797
