K_u,time_s,instantaneous_reach_m,historical_reach_m,historical_fraction_of_S0_port,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,local_sill_crossed,R3_reached,R4_reached_h010
2.0,780,14395.312244148521,14395.312244148521,0.7304496838848684,46.64075852033449,30.721455934048937,23.037537892002188,6796781.353633055,6528747.680618075,False,False,False
2.0,810,14435.312244148674,14435.312244148674,0.7324793715262312,45.68946690284603,29.770841775365984,22.718719549461337,6802129.903322746,6565579.677488029,False,False,False
2.0,840,14435.312244148674,14435.312244148674,0.7324793715262312,44.90458287339941,29.364816097126713,22.370804913307193,6804088.900952887,6556831.3713509515,False,False,False
2.0,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.34579290204776,29.032698557168295,22.088113157521505,6806093.218613449,6583788.255231544,False,False,False
2.0,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.80739818939651,28.87756269409317,20.66748562190705,6805969.483542331,6548442.196734095,False,False,False
3.0,90,1968.3721406968825,1968.3721406968825,0.09987951518899929,16.63862227869278,34.266962355121095,34.02974075800081,2278147.8868582584,285133.972964271,False,False,False
3.0,180,3907.457947973987,3907.457947973987,0.19827297765293042,17.75204224437487,35.91201379844325,34.39641875046191,2759337.8209603545,793318.7978663462,False,False,False
3.0,300,7460.237484001108,7460.237484001108,0.3785487955712615,19.57861766766033,41.24456037720372,39.417385820032884,3963270.06252835,2276125.8544310634,False,False,False
3.0,420,11057.450688263436,11057.450688263436,0.5610792751715192,13.24534874814516,40.43044258494861,38.01793636802083,5331006.682501132,4298495.180080378,False,False,False
3.0,540,12896.563800161231,12896.563800161231,0.654399904028342,35.75262490453313,35.234714320730966,31.27438424418215,6288206.64683166,5704874.1829065345,False,False,False
3.0,600,13655.611321881093,13655.611321881093,0.6929156383792409,46.73008293268654,31.632142464784682,28.001004186573905,6530021.115225624,6048273.539845286,False,False,False
3.0,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.53998376364516,29.309577904796825,26.914880494175044,6665318.261329828,6294834.050945684,False,False,False
3.0,690,14355.31224414874,14355.31224414874,0.7284199962435245,49.23481682078344,31.64998653944557,26.966523928296183,6718948.562542436,6390579.607713493,False,False,False
3.0,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.61443065953551,31.833091961360946,26.414696776677626,6753754.892543794,6446902.11634654,False,False,False
3.0,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.91395648030336,31.68021162919531,24.417013384080118,6776314.250348011,6509708.445886153,False,False,False
3.0,780,14395.312244148521,14395.312244148521,0.7304496838848684,47.14411510727773,30.8780882678092,23.170991000042218,6790802.346790734,6510270.772261466,False,False,False
3.0,810,14435.312244148674,14435.312244148674,0.7324793715262312,46.27611424675237,29.965340440859343,22.104755741810756,6796935.470603503,6518923.921249278,False,False,False
3.0,840,14435.312244148674,14435.312244148674,0.7324793715262312,45.15372431095737,29.59863926644578,21.590119625769805,6798929.543134856,6527574.061081428,False,False,False
3.0,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.33395923187372,29.145460264535892,20.70686408748131,6802163.369871662,6510804.214944031,False,False,False
3.0,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.68133663026455,28.866809273130055,20.415103728690198,6800667.663262513,6485062.336190304,False,False,False
4.0,90,1968.3721406968825,1968.3721406968825,0.09987951518899929,16.59941929954839,34.77912783366119,34.21251723762686,2285610.9911138373,292792.4406152447,False,False,False
4.0,180,3907.457947973987,3907.457947973987,0.19827297765293042,17.62501616183435,36.4754142526137,35.38424272450575,2768308.612949789,803872.299087879,False,False,False
4.0,300,7460.237484001108,7460.237484001108,0.3785487955712615,19.55812253020598,41.29937616291139,39.49491089907001,3970998.8865900747,2286800.083150005,False,False,False
4.0,420,11117.313119347842,11117.313119347842,0.5641168260853563,13.20814074902067,40.44969613713451,38.024356602248275,5336984.842222735,4307811.835126327,False,False,False
4.0,540,12896.563800161231,12896.563800161231,0.654399904028342,36.3794248352725,35.20546466283388,31.220471691850324,6294188.859062191,5695189.718971111,False,False,False
4.0,600,13655.611321881093,13655.611321881093,0.6929156383792409,46.84235600382549,31.5330010307527,27.908360984945315,6530866.61546888,6041184.359718494,False,False,False
4.0,660,14295.611321881068,14295.611321881068,0.7253906406409197,49.55906501829179,29.463275279052986,27.02198802623063,6667841.100142823,6278978.976070975,False,False,False
4.0,690,14355.31224414874,14355.31224414874,0.7284199962435245,49.2286267097634,32.09966929057751,26.81172323224533,6720188.72715329,6385885.34946574,False,False,False
4.0,720,14395.312244148521,14395.312244148521,0.7304496838848684,48.60349438439424,31.850585785659064,25.61221404018987,6753838.933041158,6445562.338286095,False,False,False
4.0,750,14395.312244148521,14395.312244148521,0.7304496838848684,47.62282217385012,31.68368614835291,24.25251350205078,6775598.564631697,6486918.393784692,False,False,False
4.0,780,14395.312244148521,14395.312244148521,0.7304496838848684,46.64175279634224,30.57352401942557,22.93285575310219,6788322.338302882,6497960.601709185,False,False,False
4.0,810,14435.312244148674,14435.312244148674,0.7324793715262312,45.68053045715129,29.780834411257267,22.483044996125226,6792747.590943689,6516587.201981739,False,False,False
4.0,840,14435.312244148674,14435.312244148674,0.7324793715262312,44.84652469171568,29.368838268718367,21.791068389501376,6793921.224068589,6536733.987372892,False,False,False
4.0,870,14435.312244148674,14435.312244148674,0.7324793715262312,44.23304075443316,29.02139438909412,20.946781311297215,6794673.685215066,6532924.280051744,False,False,False
4.0,900,14435.312244148674,14435.312244148674,0.7324793715262312,43.58246727657558,28.86344039052606,21.010373648069884,6793299.770066951,6514590.57392,False,False,False
