time_s,instantaneous_published_route_reach_m,historical_published_route_reach_m,published_fraction,R4_h0001_reached,R4_h005_reached,R4_h010_reached,R4_h020_reached,R4_h050_reached,R4_h100_reached,post_R4_extension_reach_h0001_m,post_R4_extension_reach_h010_m,total_diagnostic_reach_h010_m,max_depth_m,global_max_speed_ms,P99_wet_speed_ms,wet_volume_m3,bdif_state_integral_m3,furthest_downstream_x,furthest_downstream_y,furthest_downstream_distance_from_R4_m,minimum_distance_wet_to_domain_boundary_m,wet_h010_touches_domain_boundary
840.0,18128.95450515445,18128.95450515445,0.9199028727449813,False,False,False,False,False,False,0.0,0.0,18128.95450515445,74.0144696031153,30.016338180673014,20.37960304922702,25017820.425587226,17626121.47387568,338894.0,3127228.0,2853.5899694804243,1824.0,False
870.0,18128.95450515445,18128.95450515445,0.9199028727449813,False,False,False,False,False,False,0.0,0.0,18128.95450515445,74.55674227068927,30.636066805670474,19.45011269594553,25042242.505340602,17665954.82442318,338894.0,3127228.0,2853.5899694804243,1824.0,False
900.0,18208.954505154226,18208.954505154226,0.92396224802768,False,False,False,False,False,False,0.0,0.0,18208.954505154226,75.08881498773077,30.951123395380574,18.75302453258554,25067663.696374618,17661370.72176452,338894.0,3127228.0,2853.5899694804243,1824.0,False
930.0,18348.954505154426,18348.954505154426,0.9310661547724327,False,False,False,False,False,False,0.0,0.0,18348.954505154426,75.56209675095172,31.40377075265422,19.860474189774646,25105248.46008679,17575840.736518495,338894.0,3127228.0,2853.5899694804243,1824.0,False
960.0,18468.954505154245,18468.954505154245,0.9371552176964886,False,False,False,False,False,False,0.0,0.0,18468.954505154245,75.94120609776965,31.821676106847008,19.83767238618044,25137436.53317265,17628617.572419785,338894.0,3127228.0,2853.5899694804243,1824.0,False
990.0,18585.91821134621,18585.91821134621,0.9430902124201113,False,False,False,False,False,False,0.0,0.0,18585.91821134621,76.22212603079721,32.15002193695652,19.096410835483347,25173943.53101613,17617231.021735653,338894.0,3127228.0,2853.5899694804243,1824.0,False
1020.0,18665.918211346205,18665.918211346205,0.9471495877028211,False,False,False,False,False,False,0.0,0.0,18665.918211346205,76.40888718350574,32.40663175876427,18.018639327158148,25210532.203052167,17632278.017597698,338894.0,3127228.0,2853.5899694804243,1824.0,False
1050.0,18925.391214173644,18925.391214173644,0.9603158163804243,False,False,False,False,False,False,0.0,0.0,18925.391214173644,76.39020502881979,32.62138781710391,19.035758150308993,25268780.54651449,17593622.7840247,338894.0,3127228.0,2853.5899694804243,1824.0,False
1080.0,19025.39121417354,19025.39121417354,0.9653900354838066,False,False,False,False,False,False,0.0,0.0,19025.39121417354,76.1816945326902,32.762065821737366,19.50599744675039,25322404.56904293,17692078.24130321,338894.0,3127228.0,2853.5899694804243,1824.0,False
1110.0,19205.39121417364,19205.39121417364,0.9745236298699091,False,False,False,False,False,False,0.0,0.0,19205.39121417364,75.83571911011458,32.67085300439288,18.369186596548477,25382626.37982854,17740128.060007934,338894.0,3127228.0,2853.5899694804243,1824.0,False
1140.0,19345.391214173444,19345.391214173444,0.9816275366146417,False,False,False,False,False,False,0.0,0.0,19345.391214173444,75.5081229018907,32.56130485771485,18.33464444377887,25448879.175918084,17736222.09152656,341198.0,3129404.0,331.6000600233768,1824.0,False
1170.0,19445.295759867007,19445.295759867007,0.9866969121573771,False,False,False,False,False,False,0.0,0.0,19445.295759867007,75.04973557472483,32.43389918169179,17.73313004476558,25504439.383469418,17751915.68833052,341134.0,3129340.0,247.50394673115932,1824.0,False
1200.0,19664.040847174478,19664.040847174478,0.9977965171652544,True,True,True,True,True,False,0.0,0.0,19707.465910023548,74.65520651770014,32.279856223333546,17.38508853448083,25555285.604433708,17711839.061540086,340942.0,3129276.0,45.391530481984496,1824.0,False
1230.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,64.0,64.0,19771.465910023548,74.30208985384645,32.11548100488904,18.106310281068204,25633134.91081131,17678757.482362207,340814.0,3129148.0,139.09564594006486,1824.0,False
1260.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,538.5096679918781,448.0,20155.465910023548,73.96184849137946,31.981496682245474,20.710270367669697,25782523.49263436,17711939.070446238,340814.0,3128700.0,563.291916476198,1504.0,False
1290.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,975.5290039756344,975.5290039756344,20682.99491399918,73.61054177803854,31.840030963344812,22.024211191208312,25943258.067059234,17740290.29470617,340814.0,3128316.0,944.5483870884435,1120.0,False
1320.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1194.0386719675125,1194.0386719675125,20901.50458199106,73.09573440930933,31.689624419453096,23.395698506077917,26072647.179045975,17846988.944155805,340878.0,3128188.0,1068.7810757603088,928.0,False
1350.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1194.0386719675125,1194.0386719675125,20901.50458199106,72.58451471960947,31.475968782906563,21.959566759737402,26193213.20940177,17934004.605628062,340878.0,3128188.0,1068.7810757603088,928.0,False
1380.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1194.0386719675125,1194.0386719675125,20901.50458199106,72.07212071096684,31.239599205547158,22.110020823084632,26292006.975262035,18067220.77234281,340814.0,3128124.0,1135.8699713186172,928.0,False
1410.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1348.5483399593907,1348.5483399593907,21056.014249982938,71.47516252128042,31.049070612515955,21.591672044057333,26368458.66729147,18040980.11715189,340750.0,3127996.0,1269.5450002451043,800.0,False
1440.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1567.0580079512688,1503.0580079512688,21210.523917974817,70.97880271613197,30.78226111291455,21.480554968867747,26414574.02420433,18044293.91291065,340686.0,3127804.0,1468.3585173980227,608.0,False
1470.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1657.567675943147,1657.567675943147,21365.033585966696,70.51521157612049,30.548784699091946,20.741990460259416,26443794.276610594,17982501.09246679,340622.0,3127740.0,1541.9832487596332,544.0,False
1500.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,1838.5870119269032,1838.5870119269032,21546.05292195045,69.84537737735366,30.315656140800243,19.924664675962273,26468688.70723137,17848994.31933041,340494.0,3127676.0,1632.0941256775932,480.0,False
1530.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2019.6063479106595,1929.0966799187813,21636.56258994233,69.37112442598735,30.31569215467043,18.97384353359721,26480764.850631844,17784740.69697825,340366.0,3127548.0,1790.3369634656194,288.0,False
1560.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2238.1160159025376,2238.1160159025376,21945.581925926086,68.92290732815928,30.47818664414643,19.123163056791835,26491014.497235283,17715205.49903472,340302.0,3127292.0,2053.8225295247066,96.0,False
1590.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,68.52096475866269,46.376144244650234,19.58449800320226,26492294.232694168,17651664.87524683,340238.0,3127228.0,2134.1299366775347,32.0,True
1620.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,68.13901311749635,103.60918144730749,19.608867021246454,26457099.857389282,17581906.78513915,340238.0,3127228.0,2134.1299366775347,32.0,True
1650.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,67.7626506786716,135.69068961846665,19.633376806702156,26383417.208202157,17519889.214526493,340238.0,3127228.0,2134.1299366775347,32.0,True
1680.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,67.367932549631,162.0348165459067,19.563356189145196,26279550.68005573,17454829.576296464,340238.0,3127228.0,2134.1299366775347,32.0,True
1710.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,67.00759777707508,175.21791478716975,19.9647912877932,26139496.741691027,17312271.896372262,340238.0,3127228.0,2134.1299366775347,32.0,True
1740.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,66.62447879116516,128.11814247585826,19.80230961577164,25899673.543036997,17172843.509259753,340238.0,3127228.0,2134.1299366775347,32.0,True
1770.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,66.28937875961921,123.76817387151989,18.703223633816744,25620218.490846537,17115621.04428926,340238.0,3127228.0,2134.1299366775347,32.0,True
1800.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.9626856720783,123.00713247451583,19.251213458408003,25378359.307338696,17139182.502049305,340238.0,3127228.0,2134.1299366775347,32.0,True
1830.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.63306680019704,122.89533711181724,19.32522842065859,25145032.12032443,17088347.963344935,340238.0,3127228.0,2134.1299366775347,32.0,True
1860.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.32179804880265,123.16276921883247,19.280823551324854,24909961.16720816,17018899.062816568,340238.0,3127228.0,2134.1299366775347,32.0,True
1890.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.13239847183372,123.15231152480139,19.29211103401591,24671845.157008745,16978869.216943078,340238.0,3127228.0,2134.1299366775347,32.0,True
1920.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.82257388320792,123.1346910295833,19.320077531254064,24429254.802381717,16906938.842547603,340238.0,3127228.0,2134.1299366775347,32.0,True
1950.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.63933727392549,123.01671883219936,19.345244290749573,24189099.79594208,16835480.80646302,340238.0,3127228.0,2134.1299366775347,32.0,True
1980.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.4894475559542,123.27198114781356,19.316780661077356,23946671.751366552,16822289.601806924,340238.0,3127228.0,2134.1299366775347,32.0,True
2010.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.36137275246554,123.51213530054878,19.395162510102725,23706280.647887617,16819675.037576023,340238.0,3127228.0,2134.1299366775347,32.0,True
2040.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.27855819531014,123.77563289234166,19.532038280655097,23473400.039844077,16797420.985501155,340238.0,3127228.0,2134.1299366775347,32.0,True
2070.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.24593747239506,123.85716113885341,19.690695702094132,23232914.734347485,16798287.99092997,340238.0,3127228.0,2134.1299366775347,32.0,True
2100.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.36009526126493,123.5509503892398,19.77526698418067,22993208.638206072,16768060.80611986,340238.0,3127228.0,2134.1299366775347,32.0,True
2130.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.7896730614107,123.24615477808183,19.563262039484822,22768517.660480063,16744199.74891011,340238.0,3127228.0,2134.1299366775347,32.0,True
2160.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.36924097498377,122.84073216632972,20.125110456460416,22567682.388764687,16767292.730037468,340238.0,3127228.0,2134.1299366775347,32.0,True
2190.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,65.24451384303458,122.13625831594003,19.89091061759684,22357460.165448938,16612619.927151935,340238.0,3127228.0,2134.1299366775347,32.0,True
2220.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.92252087416169,121.20461949869143,19.64455256057926,22153298.237059403,16593096.20346182,340238.0,3127228.0,2134.1299366775347,32.0,True
2250.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.70730650630846,120.50832792941344,19.62595825838708,21957919.817750208,16605269.889898475,340238.0,3127228.0,2134.1299366775347,32.0,True
2280.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.37028881930043,120.1354706293185,19.567811365605717,21767230.185422916,16624336.270130938,340238.0,3127228.0,2134.1299366775347,32.0,True
2310.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,64.0467272163005,119.7705147369683,19.629250222233246,21583724.194879893,16647090.88421794,340238.0,3127228.0,2134.1299366775347,32.0,True
2340.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.81628100283174,119.22270301734893,19.34750421015077,21409552.04978743,16642134.651415989,340238.0,3127228.0,2134.1299366775347,32.0,True
2370.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.61276585428943,118.45096556414816,18.969990753011164,21240888.72570609,16628760.965733072,340238.0,3127228.0,2134.1299366775347,32.0,True
2400.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.45522562537542,117.1755882828891,18.8255598298277,21069023.425214764,16630368.360857937,340238.0,3127228.0,2134.1299366775347,32.0,True
2430.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.30512758897735,115.84720401609526,18.679446214341198,20908971.43962515,16594679.011720147,340238.0,3127228.0,2134.1299366775347,32.0,True
2460.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.15807205113381,114.8315941394303,18.713490075755278,20757202.55174901,16560352.15628588,340238.0,3127228.0,2134.1299366775347,32.0,True
2490.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.00966690947772,114.12791371041108,18.520965064605576,20605687.41197447,16592068.882637314,340238.0,3127228.0,2134.1299366775347,32.0,True
2520.0,19707.465910023548,19707.465910023548,1.0,True,True,True,True,True,True,2328.6256838944155,2328.6256838944155,22036.09159391796,63.17275815916452,113.30918640993647,18.38342028278609,20451126.64485467,16605461.386863012,340238.0,3127228.0,2134.1299366775347,32.0,True
