i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
38,2,334350.000000,3127612.000000,3341.39307,16800.000000,4513.372131,1903.736000,1437.657070,0
39,2,334414.000000,3127612.000000,3286.78833,16800.000000,4462.432038,1903.736000,1383.052330,0
40,2,334478.000000,3127612.000000,3257.41528,16950.000000,4411.765171,1890.454000,1366.961280,0
41,2,334542.000000,3127612.000000,3256.33179,16950.000000,4360.327693,1890.454000,1365.877790,0
42,2,334606.000000,3127612.000000,3252.70728,16950.000000,4309.226758,1890.454000,1362.253280,0
43,2,334670.000000,3127612.000000,3237.27271,16950.000000,4258.474483,1890.454000,1346.818710,0
44,2,334734.000000,3127612.000000,3208.55054,16950.000000,4208.083481,1890.454000,1318.096540,0
45,2,334798.000000,3127612.000000,3157.25073,16950.000000,4158.066888,1890.454000,1266.796730,0
46,2,334862.000000,3127612.000000,3124.78125,16950.000000,4108.438379,1890.454000,1234.327250,0
47,2,334926.000000,3127612.000000,3101.15381,16950.000000,4059.212187,1890.454000,1210.699810,0
48,2,334990.000000,3127612.000000,3087.73584,16950.000000,4010.403127,1890.454000,1197.281840,0
49,2,335054.000000,3127612.000000,3087.16309,16950.000000,3962.026616,1890.454000,1196.709090,0
50,2,335118.000000,3127612.000000,3072.98145,16950.000000,3914.098692,1890.454000,1182.527450,0
51,2,335182.000000,3127612.000000,3065.06689,16950.000000,3866.636036,1890.454000,1174.612890,0
52,2,335246.000000,3127612.000000,3064.43506,16950.000000,3819.655992,1890.454000,1173.981060,0
53,2,335310.000000,3127612.000000,3054.47363,16950.000000,3773.176588,1890.454000,1164.019630,0
54,2,335374.000000,3127612.000000,3059.99072,16950.000000,3727.216552,1890.454000,1169.536720,0
55,2,335438.000000,3127612.000000,3068.43213,16980.867292,3681.601781,1894.022876,1174.409254,0
56,2,335502.000000,3127612.000000,3069.39014,17000.000000,3636.057420,1896.235000,1173.155140,0
57,2,335566.000000,3127612.000000,3066.7688,17000.000000,3590.999844,1896.235000,1170.533800,0
58,2,335630.000000,3127612.000000,3060.41553,17000.000000,3546.524807,1896.235000,1164.180530,0
59,2,335694.000000,3127612.000000,3029.37329,17000.000000,3502.654497,1896.235000,1133.138290,0
60,2,335758.000000,3127612.000000,2994.75732,17000.000000,3459.411922,1896.235000,1098.522320,0
61,2,335822.000000,3127612.000000,2948.09424,17000.000000,3416.820915,1896.235000,1051.859240,0
62,2,335886.000000,3127612.000000,2913.0791,17000.000000,3374.906145,1896.235000,1016.844100,0
63,2,335950.000000,3127612.000000,2888.66699,17000.000000,3333.693118,1896.235000,992.431990,0
64,2,336014.000000,3127612.000000,2898.81665,17000.000000,3293.208182,1896.235000,1002.581650,0
65,2,336078.000000,3127612.000000,2905.07178,17000.000000,3253.478515,1896.235000,1008.836780,0
66,2,336142.000000,3127612.000000,2875.36279,17000.000000,3214.532123,1896.235000,979.127790,0
67,2,336206.000000,3127612.000000,2859.14673,17000.000000,3176.397817,1896.235000,962.911730,0
68,2,336270.000000,3127612.000000,2859.65479,17000.000000,3139.105193,1896.235000,963.419790,0
69,2,336334.000000,3127612.000000,2872.24976,17000.000000,3102.684601,1896.235000,976.014760,0
70,2,336398.000000,3127612.000000,2897.14526,17000.000000,3067.167106,1896.235000,1000.910260,0
71,2,336462.000000,3127612.000000,2915.89771,17000.000000,3032.584438,1896.235000,1019.662710,0
72,2,336526.000000,3127612.000000,2923.75684,17000.000000,2998.968939,1896.235000,1027.521840,0
73,2,336590.000000,3127612.000000,2939.36841,17000.000000,2966.353488,1896.235000,1043.133410,0
74,2,336654.000000,3127612.000000,2948.625,17000.000000,2934.771428,1896.235000,1052.390000,0
75,2,336718.000000,3127612.000000,2925.75537,17000.000000,2904.256472,1896.235000,1029.520370,0
76,2,336782.000000,3127612.000000,2917.26685,17000.000000,2874.842601,1896.235000,1021.031850,0
77,2,336846.000000,3127612.000000,2928.30493,17000.000000,2846.563946,1896.235000,1032.069930,0
78,2,336910.000000,3127612.000000,2944.33325,17000.000000,2819.454667,1896.235000,1048.098250,0
79,2,336974.000000,3127612.000000,2920.46973,17000.000000,2793.548808,1896.235000,1024.234730,0
80,2,337038.000000,3127612.000000,2867.8418,17000.000000,2768.880146,1896.235000,971.606800,0
81,2,337102.000000,3127612.000000,2817.60889,17100.000000,2743.386454,1899.253000,918.355890,0
82,2,337166.000000,3127612.000000,2784.2041,17103.922396,2718.184258,1898.981099,885.223001,0
83,2,337230.000000,3127612.000000,2782.08301,17158.944703,2693.538377,1893.041871,889.041139,0
84,2,337294.000000,3127612.000000,2804.88062,17218.051554,2668.923252,1881.262985,923.617635,0
85,2,337358.000000,3127612.000000,2834.82495,17250.000000,2644.446842,1882.716000,952.108950,0
86,2,337422.000000,3127612.000000,2870.28467,17250.000000,2621.110104,1882.716000,987.568670,0
87,2,337486.000000,3127612.000000,2890.36743,17250.000000,2599.140100,1882.716000,1007.651430,0
88,2,337550.000000,3127612.000000,2875.30908,17250.000000,2578.571764,1882.716000,992.593080,0
89,2,337614.000000,3127612.000000,2843.14673,17250.000000,2559.438888,1882.716000,960.430730,0
90,2,337678.000000,3127612.000000,2803.79492,17250.000000,2541.773889,1882.716000,921.078920,0
91,2,337742.000000,3127612.000000,2805.52905,17250.000000,2525.607568,1882.716000,922.813050,0
92,2,337806.000000,3127612.000000,2848.4397,17250.000000,2510.968870,1882.716000,965.723700,0
93,2,337870.000000,3127612.000000,2867.00879,17250.000000,2497.884655,1882.716000,984.292790,0
94,2,337934.000000,3127612.000000,2877.62598,17250.000000,2486.379462,1882.716000,994.909980,0
95,2,337998.000000,3127612.000000,2874.55688,17250.000000,2476.475300,1882.716000,991.840880,0
96,2,338062.000000,3127612.000000,2869.04395,17250.000000,2468.191442,1882.716000,986.327950,0
97,2,338126.000000,3127612.000000,2865.20557,17250.000000,2461.544246,1882.716000,982.489570,0
98,2,338190.000000,3127612.000000,2857.56494,17250.000000,2456.546998,1882.716000,974.848940,0
99,2,338254.000000,3127612.000000,2851.66357,17250.000000,2453.209782,1882.716000,968.947570,0
100,2,338318.000000,3127612.000000,2843.01172,17750.000000,2448.816777,1867.942000,975.069720,0
101,2,338382.000000,3127612.000000,2833.69531,17750.000000,2435.161435,1867.942000,965.753310,0
102,2,338446.000000,3127612.000000,2830.65283,17750.000000,2423.120060,1867.942000,962.710830,0
103,2,338510.000000,3127612.000000,2829.70679,17750.000000,2412.716817,1867.942000,961.764790,0
