time_s,wet_volume_m3,moving_volume_gt_05_m3,moving_volume_gt_2_m3,com_x_m,com_y_m,com_elevation_m,mean_speed_moving_ms,p90_speed_ms,p99_speed_ms,max_depth_m,wet_area_m2,area_h_gt_1_m2,area_h_gt_3_m2,potential_energy_proxy,kinetic_energy_proxy,river_front_m,d8_front_m,wet_median_river_offset_m,wet_median_d8_offset_m,wet_fraction_river_gt_400
200.0,940862.9601279866,563642.5062167514,361228.3558167732,334619.019841649,3142503.6213668254,2710.8569721563954,5.03482510440139,7.23883778261211,12.45695258841651,13.67765842497925,675840.0,180224.0,110592.0,52384884296425.055,18745443862.369354,1899.010336999188,2487.6836918456834,266.36949395604455,135.7645019878171,0.17575757575757575
210.0,940734.5798083729,517969.1088876406,392082.2201314377,334623.4792797158,3142489.6409540167,2710.1570336560044,4.804776035978879,6.552289630299945,12.471246841720514,13.56041645667324,663552.0,172032.0,110592.0,52363233220870.234,14952264872.935034,1933.7005434715752,2532.9385258416223,266.77816079025735,135.7645019878171,0.17901234567901234
220.0,940637.888641259,476411.4520206946,333863.7914405377,334627.25466757454,3142476.5917191026,2709.577421221031,4.592851905794859,6.0952706202924904,10.69824747624362,13.57185811926109,663552.0,188416.0,102400.0,52347395038501.69,11673711068.087605,1987.4833434628656,2578.1933598375613,269.1876087091192,135.7645019878171,0.17901234567901234
230.0,940555.416126462,478122.8628008141,346939.7158170161,334631.0333466738,3142465.6212301,2709.0145726185306,4.535102597432684,6.3796221198831145,10.62442301055568,13.33007737069911,667648.0,180224.0,98304.0,52334580621143.73,11097604670.4696,2022.1735499352526,2578.1933598375613,267.18682762447014,135.7645019878171,0.17791411042944785
240.0,940943.0482550121,455263.46148843935,326060.1199253722,334633.0218122412,3142454.479932411,2708.5373573579946,4.668909897871481,6.1746038807871875,11.737211716483717,13.61091999037823,651264.0,184320.0,98304.0,52346416473227.74,10919084358.773376,2075.956349926543,2578.1933598375613,272.1337096577596,160.0,0.1761006289308176
250.0,940885.8161446888,428056.603898448,255995.8883605732,334635.20263077423,3142444.455896898,2708.005417808532,4.533612869511203,6.358824195845995,11.842029096238473,13.30048293565882,638976.0,184320.0,98304.0,52331154508600.016,9752918904.119322,2075.956349926543,2578.1933598375613,278.18515072816024,160.0,0.1794871794871795
260.0,940827.6309156126,353116.7925703203,226050.4225064792,334636.95573998487,3142434.02833459,2707.5212405524344,4.614962618256772,6.17524164660596,11.709114961811537,13.24391838838084,634880.0,200704.0,102400.0,52318447969333.58,9662975118.045696,2129.7444047562153,2796.703027829439,282.78444057795383,160.0,0.18064516129032257
270.0,940776.5420321225,344374.70487320505,236164.8741939304,334639.2204095738,3142425.083546868,2707.065156463069,4.655265589480638,6.457459675457607,11.181755599574021,13.11844356571141,630784.0,192512.0,94208.0,52309106990730.67,9185880607.117704,2129.7444047562153,2796.703027829439,284.134217804995,160.0,0.18181818181818182
280.0,940728.4426879056,359553.3089074901,231981.8164033439,334641.01961243816,3142415.9611323494,2706.580108579179,4.602395223483111,6.042376778418997,11.278242507078533,13.01504431330718,622592.0,196608.0,94208.0,52297531564674.49,9512840372.744953,2129.7444047562153,2796.703027829439,285.88170808770485,160.0,0.18421052631578946
290.0,940684.3511910711,345768.7077174736,230137.85224463957,334643.68038444023,3142407.672961513,2706.1556220441057,4.5604318681609834,5.667090862318295,11.20404658715338,12.94917508531186,622592.0,188416.0,94208.0,52288248873638.69,8234256069.962988,2178.5659975030417,2841.957861825378,287.1977027415532,147.88225099390854,0.18421052631578946
300.0,940641.07639657,361386.01946207497,218157.90803095908,334645.5995424277,3142399.643789325,2705.6585432604716,4.367180675939968,5.505622679031886,11.198572540215876,12.84034059943237,626688.0,188416.0,94208.0,52278728257527.734,8635625261.174494,2219.9477819215876,2887.212695821317,285.48399503203615,135.7645019878171,0.1830065359477124
310.0,940599.8895480877,346866.829999696,212313.13316368667,334648.749102288,3142391.744363,2705.2925823119294,4.524303207069118,5.679596363986577,11.163509533076981,12.78844987723076,622592.0,188416.0,94208.0,52270925107771.16,7326146890.152946,2219.9477819215876,2887.212695821317,284.134217804995,147.88225099390854,0.18421052631578946
320.0,940561.4655262127,346748.38768575154,225277.82577478176,334650.9055929437,3142384.533781521,2704.8311857209455,4.435946992044986,5.8860712477033745,10.275296379767406,12.73759182730255,614400.0,184320.0,94208.0,52260213297576.336,7371270122.903849,2219.9477819215876,2887.212695821317,280.5679713181332,135.7645019878171,0.18666666666666668
330.0,940525.2039756349,303959.0064116221,209701.04673378821,334653.88716164784,3142377.1800328693,2704.4987692451446,4.392013626330954,5.227210014935047,11.075790980461768,12.86375820158412,618496.0,176128.0,98304.0,52254340282138.766,6412399533.962304,2261.329566340134,2932.467529817256,278.3515020583125,135.7645019878171,0.18543046357615894
340.0,940489.1252217565,367629.7255005443,226132.87594125015,334656.2526710262,3142371.392098437,2704.0886492866175,4.151342148247818,6.139989283999976,9.964610527808956,12.87931408872389,614400.0,180224.0,94208.0,52245768525901.62,6368276003.670041,2261.329566340134,2932.467529817256,280.5679713181332,135.7645019878171,0.18666666666666668
350.0,940455.0035578073,323446.39224261243,208633.28043941144,334659.0067517667,3142364.503311257,2703.7876594717472,4.073011940804398,4.852789892619099,10.570369623775246,12.85687976850505,614400.0,176128.0,98304.0,52240405921714.18,5706859149.078512,2261.329566340134,2932.467529817256,280.5679713181332,135.7645019878171,0.18666666666666668
360.0,940421.1672755396,340286.85277938924,225896.92417490267,334661.02779204666,3142359.052118851,2703.4005889638365,3.84689053485975,5.110835609274916,9.743023898593584,12.79490317875839,610304.0,176128.0,94208.0,52232242290642.82,5697440048.69778,2261.329566340134,2932.467529817256,278.3515020583125,135.7645019878171,0.18791946308724833
370.0,940388.669625472,323714.5077536099,204040.58886314684,334663.9783894503,3142352.602393768,2703.1307939343237,3.807356346915582,4.715663958883007,10.515104874121336,13.09888754246179,606208.0,167936.0,102400.0,52226338207230.125,5104979155.841555,2261.329566340134,2932.467529817256,280.5679713181332,147.88225099390854,0.1891891891891892
