s_m,x,y,elevation_m,slope_local,slope_100m,slope_250m,slope_500m,valley_width_m,cross_valley_relief_m,river_vector_offset_m,bend_angle_deg
3392.0,335549.4836918457,3141136.8163081543,2745.8119959025335,0.07219646867275742,0.08300565905473377,0.017048257906366417,-0.009237254554371247,608.0,243.9722591895138,310.9564709904046,28.76256677820127
3424.0,335557.8,3141108.261035781,2747.8731120567227,0.06970962740921749,0.056559822028589224,0.025784664788159717,-0.00022280545872399671,608.0,247.5952284871246,323.07604467010015,16.237433221577657
3456.0,335557.8,3141076.261035781,2750.2734120567234,0.030695548977277554,0.01920800272191627,-0.006096572656522767,0.002059617535314828,608.0,243.68279168547178,343.76693687937325,28.762566778602977
3488.0,335572.11110884364,3141050.1888911566,2749.8376271912684,-0.04022838016400243,-0.02465424654581966,-0.060597133722360016,-0.009676390393577095,608.0,220.9346298672699,349.7078859489345,16.237433221175905
3520.0,335594.7385258416,3141027.5614741584,2747.698795726227,-0.06789082703254934,-0.0925637709613602,-0.06499731311634968,-0.01651552892920972,608.0,198.00379456990595,347.07751648921936,0.0
3552.0,335617.3659428396,3141004.9340571603,2745.4926142611853,-0.16408922925889868,-0.1720031587165522,-0.049962199788151335,0.0026051363643355215,608.0,225.16011653215855,344.44714702950426,36.6373306928319
3584.0,335621.8,3140974.7707037725,2737.1970850536577,-0.2822707688676189,-0.17860960772427917,-0.03126577980465845,0.015081911681683777,608.0,263.39368336007146,360.56801662841815,8.362669306947026
3616.0,335621.8,3140942.7707037725,2727.4272850536577,-0.11250463863373028,-0.08383965259912202,-0.042102351219664345,0.01703154947259736,448.0,192.28954526591815,381.2589088376912,36.63733069330119
3648.0,335603.6066401624,3140918.3066401626,2729.996788181099,0.13688645280740275,0.07130934146557592,-0.05200043591600661,0.013287152636867177,544.0,152.0269713726143,410.95571213449085,8.362669306477724
3680.0,335580.97922316444,3140895.6792231645,2736.1880180333314,0.20411890163234858,0.12057930003892124,-0.013702260402713363,0.006258975422373624,544.0,159.5550319908998,442.84742197439056,0.0
3712.0,335558.35180616647,3140873.0518061663,2743.0603978855693,0.03929690158665977,0.03383743493427119,0.04707607744667257,-0.004719913024080597,544.0,205.74178388184373,474.7391318142902,44.00498713233726
3744.0,335557.8,3140841.2803717647,2738.7030197348777,-0.14069028360454894,-0.00648939514027461,0.09997061772864982,-0.014708158860828007,544.0,220.27882793601339,496.04470043136,0.9950128674415877
3776.0,335557.8,3140809.2803717647,2734.056219734878,0.05210277693833376,0.046155038148103816,0.08895245369666736,-0.020953091154891808,544.0,237.60898232882346,517.8351068195135,44.004987132414435
3808.0,335535.7243891685,3140786.4243891686,2742.037597458931,0.22837434084168962,0.14477848379209263,0.057864807359859695,-0.01963098085187721,544.0,208.18947457324748,549.5672633313202,0.9950128673642962
3840.0,335513.0969721705,3140763.7969721705,2748.6721775487463,0.17243519071838875,0.1536516459996619,0.01919051230068726,-0.004163711517426236,544.0,191.46862955605638,581.5473210750285,0.0
3872.0,335490.4695551726,3140741.169555173,2753.073449664908,0.06431952748751968,0.06923497858926567,0.012959870455280907,0.00830362007419626,544.0,201.56231369823809,613.527378818377,0.0
3904.0,335467.84213817463,3140718.5421381746,2752.7886273079475,-0.030142104905159783,-0.017467238883664322,0.006113272735472492,-0.00029511174915842277,544.0,225.69031146518364,645.5074365620853,0.0
3936.0,335445.21472117666,3140695.9147211765,2751.1443549509777,-0.0893957761270272,-0.09332544322684043,-0.03495240782383189,-0.013973708422342497,544.0,252.1921678856179,677.4874943057938,25.075344345659357
3968.0,335437.0126958213,3140673.287304179,2747.067297635818,-0.15956518929281316,-0.13991869577794205,-0.06340771430600034,-0.024211946588441606,576.0,415.4872278672733,698.9135588773692,64.92465565389845
4000.0,335459.64011281927,3140650.6598871807,2740.9321828362376,-0.17516100936173729,-0.14704997673580691,-0.08446108306447968,-0.004221239854449777,576.0,386.05946566262264,697.7839984687304,0.0
4032.0,335482.26752981724,3140628.0324701825,2735.8569930366666,-0.11267062769197622,-0.10965063617900796,-0.0868630887632953,0.007481259232619777,544.0,359.57492313506145,696.6544380600914,0.0
4064.0,335504.8949468152,3140605.405053185,2733.721262663951,-0.04179138070841759,-0.06305843373565949,-0.0812453921570832,-0.012270675123364527,544.0,331.8345934285562,695.5248776511351,0.0
