case,time_s,source_connected_max_chainage_unrestricted,max_chainage_256m,max_lateral_distance_m,source_connected_volume
C3,300,1555.0696018100607,1270.0210908017134,418.8580293852415,
C3,330,1600.3244358059997,1270.0210908017134,418.8580293852415,
C3,360,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,390,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,420,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,450,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,480,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,510,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,540,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,570,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,600,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,630,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,660,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,690,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,720,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,750,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,780,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,810,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,840,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,870,1600.3244358059997,1270.0210908017134,428.8531501461122,
C3,900,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,30,323.0703600064646,323.0703600064646,209.9243304913095,
C4,60,558.900916931074,558.900916931074,212.1320343559643,
C4,90,733.5743890232368,733.5743890232368,256.6147115562749,
C4,120,965.6224991339952,965.6224991339952,256.6147115562749,
C4,150,1050.6902256499422,1050.6902256499422,256.6147115562749,
C4,180,1120.6560709760377,1120.6560709760377,256.6147115562749,
C4,210,1283.7837360643173,1218.411171066948,363.5273721317521,
C4,240,1410.6785487712325,1270.0210908017134,415.1372918665172,
C4,270,1460.654152575586,1270.0210908017134,415.1372918665172,
C4,300,1540.9274661863296,1270.0210908017134,428.8531501461122,
C4,330,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,360,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,390,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,420,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,450,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,480,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,510,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,540,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,570,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,600,1600.3244358059997,1270.0210908017134,428.8531501461122,
C4,630,1600.3244358059997,1270.0210908017134,428.8531501461122,
