chainage_m,canonical_axis_z,cross_valley_min_z,robust_valley_floor_z,robust_low_offset_m
1475.0,2794.4189453125,2695.49853515625,2704.29931640625,0.0
1500.0,2792.36572265625,2694.99658203125,2697.2568359375,0.0
1525.0,2792.36572265625,2694.99658203125,2697.2568359375,0.0
1550.0,2792.840087890625,2694.99658203125,2697.2568359375,0.0
1575.0,2789.86376953125,2687.089599609375,2695.49853515625,0.0
1600.0,2789.86376953125,2687.089599609375,2695.49853515625,0.0
1625.0,2789.86376953125,2687.089599609375,2695.49853515625,0.0
1650.0,2789.285888671875,2687.089599609375,2695.49853515625,0.0
1675.0,2786.052490234375,2687.089599609375,2688.00146484375,0.0
1700.0,2786.052490234375,2687.089599609375,2688.00146484375,0.0
1725.0,2786.052490234375,2687.089599609375,2688.00146484375,0.0
1750.0,2781.85498046875,2684.733154296875,2685.2939453125,0.0
1775.0,2781.85498046875,2684.733154296875,2685.2939453125,0.0
1800.0,2781.85498046875,2684.733154296875,2685.2939453125,0.0
1825.0,2784.02001953125,2684.733154296875,2685.2939453125,0.0
1850.0,2779.123291015625,2682.28662109375,2684.733154296875,0.0
1875.0,2779.123291015625,2682.28662109375,2684.733154296875,0.0
1900.0,2780.656005859375,2682.28662109375,2684.733154296875,0.0
1925.0,2780.656005859375,2682.28662109375,2684.733154296875,0.0
1950.0,2780.656005859375,2682.28662109375,2684.733154296875,0.0
1975.0,2778.649169921875,2682.28662109375,2684.733154296875,0.0
2000.0,2778.649169921875,2682.28662109375,2684.733154296875,0.0
2025.0,2778.649169921875,2682.28662109375,2684.733154296875,0.0
2050.0,2778.649169921875,2682.28662109375,2684.733154296875,0.0
2075.0,2768.79345703125,2682.28662109375,2684.733154296875,0.0
2100.0,2768.79345703125,2682.28662109375,2684.733154296875,0.0
2125.0,2768.79345703125,2682.28662109375,2684.733154296875,0.0
2150.0,2767.617919921875,2682.28662109375,2684.733154296875,0.0
2175.0,2763.884765625,2682.28662109375,2684.733154296875,0.0
2200.0,2763.884765625,2682.28662109375,2684.733154296875,0.0
