case,time_s,cell_id,h,speed,terrain_z
C3,0,2,0.0,0.0,2783.94091796875
C3,0,3,0.0,0.0,2807.7353515625
C3,30,1,19.88558698555142,0.0,2773.6123046875
C3,30,2,10.65684581356347,4.352919068482959,2783.94091796875
C3,30,3,8.295770025929597,3.1368546056421445,2807.7353515625
C3,60,1,58.33340228669303,0.0,2773.6123046875
C3,60,2,39.91568533319548,0.0,2783.94091796875
C3,60,3,12.21923982201916,0.0,2807.7353515625
C3,90,1,69.96686096370287,0.0,2773.6123046875
C3,90,2,55.51901429423366,0.0,2783.94091796875
C3,90,3,25.5981795431783,0.0,2807.7353515625
C3,120,1,69.96686096370287,0.0,2773.6123046875
C3,120,2,55.51901429423366,0.0,2783.94091796875
C3,120,3,25.59817954317832,0.0,2807.7353515625
C3,150,1,69.96686096370287,0.0,2773.6123046875
C3,150,2,55.51901429423366,0.0,2783.94091796875
C3,150,3,25.59817954317832,0.0,2807.7353515625
C3,180,1,69.96686096370287,0.0,2773.6123046875
C3,180,2,55.51901429423366,0.0,2783.94091796875
C3,180,3,25.59817954317832,0.0,2807.7353515625
C3,210,1,69.96686096370287,0.0,2773.6123046875
C3,210,2,55.51901429423366,0.0,2783.94091796875
C3,210,3,25.59817954317832,0.0,2807.7353515625
C3,240,1,69.96686096370287,0.0,2773.6123046875
C3,240,2,55.51901429423366,0.0,2783.94091796875
C3,240,3,25.59817954317832,0.0,2807.7353515625
C3,270,1,69.96686096370287,0.0,2773.6123046875
C3,270,2,55.51901429423366,0.0,2783.94091796875
C3,270,3,25.59817954317832,0.0,2807.7353515625
C3,300,1,69.96686096370287,0.0,2773.6123046875
C3,300,2,55.51901429423366,0.0,2783.94091796875
C3,300,3,25.59817954317832,0.0,2807.7353515625
C3,330,1,69.96686096370287,0.0,2773.6123046875
C3,330,2,55.51901429423366,0.0,2783.94091796875
C3,330,3,25.59817954317832,0.0,2807.7353515625
C3,360,1,69.96686096370287,0.0,2773.6123046875
C3,360,2,55.51901429423366,0.0,2783.94091796875
C3,360,3,25.59817954317832,0.0,2807.7353515625
