case,time_s,depth_threshold_m,max_chainage_128m,max_chainage_256m,max_chainage_512m,max_chainage_1000m,max_chainage_unrestricted,max_lateral_distance_m,max_euclidean_distance_from_S0_m
C1,210,0.01,1110.6609502151668,1180.563896594787,1335.3936557990826,1335.3936557990826,1335.3936557990826,415.1372918665172,1339.6617541692904
C1,210,0.05,1110.6609502151668,1180.563896594787,1335.3936557990826,1335.3936557990826,1335.3936557990826,376.6911136753178,1339.6617541692904
C1,210,0.1,1110.6609502151668,1180.563896594787,1283.7837360643173,1283.7837360643173,1283.7837360643173,376.6911136753178,1283.223506201283
C1,240,0.001,1110.6609502151668,1180.563896594787,1460.654152575586,1460.654152575586,1460.654152575586,415.1372918665172,1482.7535599698865
C1,240,0.01,1110.6609502151668,1180.563896594787,1410.6785487712323,1410.6785487712323,1410.6785487712323,415.1372918665172,1426.2338766439907
C1,240,0.05,1110.6609502151668,1180.563896594787,1410.6785487712323,1410.6785487712323,1410.6785487712323,415.1372918665172,1426.2338766439907
C1,240,0.1,1110.6609502151668,1180.563896594787,1410.6785487712323,1410.6785487712323,1410.6785487712323,415.1372918665172,1426.2338766439907
C1,270,0.001,1110.6609502151668,1180.563896594787,1460.654152575586,1460.654152575586,1460.654152575586,415.1372918665172,1482.7535599698865
C1,270,0.01,1110.6609502151668,1180.563896594787,1460.654152575586,1460.654152575586,1460.654152575586,415.1372918665172,1482.7535599698865
C1,270,0.05,1110.6609502151668,1180.563896594787,1460.654152575586,1460.654152575586,1460.654152575586,415.1372918665172,1482.7535599698865
C1,270,0.1,1110.6609502151668,1180.563896594787,1460.654152575586,1460.654152575586,1460.654152575586,415.1372918665172,1482.7535599698865
C1,300,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,300,0.01,1110.6609502151668,1180.563896594787,1500.6346356190693,1500.6346356190693,1500.6346356190693,415.1372918665172,1513.2668390571282
C1,300,0.05,1110.6609502151668,1180.563896594787,1500.6346356190693,1500.6346356190693,1500.6346356190693,415.1372918665172,1513.2668390571282
C1,300,0.1,117.55037354150878,142.14513337972352,142.14513337972352,142.14513337972352,142.14513337972352,180.37990011567342,229.52956012625492
C1,330,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,330,0.01,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,330,0.05,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
C1,330,0.1,117.55037354150878,142.14513337972352,142.14513337972352,142.14513337972352,142.14513337972352,180.37990011567342,229.52956012625492
C1,360,0.001,1110.6609502151668,1180.563896594787,1540.9274661863296,1540.9274661863296,1540.9274661863296,415.1372918665172,1569.2621116009836
