chainage,corridor_x,corridor_y,robust_offset_m,robust_low_x,robust_low_y,robust_floor_z
188,334173.09952,3143249.59428,-160.0,334063.66925870464,3143132.86802797,2766.1744400000002
189,334173.82906,3143248.91034,-160.0,334064.3987987222,3143132.184087954,2766.1218200000003
190,334174.5586,3143248.2264,-160.0,334065.12833871983,3143131.5001479564,2766.0692
191,334175.28813999996,3143247.54246,-160.0,334065.85787872213,3143130.816207954,2766.01658
192,334176.01768,3143246.8585200002,-160.0,334066.58741870464,3143130.1322679706,2765.96396
193,334176.74722,3143246.17458,-160.0,334067.3169587024,3143129.4483279726,2765.91134
194,334177.47676,3143245.49064,-160.0,334068.04649871984,3143128.7643879564,2765.85872
195,334178.20629999996,3143244.8067,-160.0,334068.77603872214,3143128.080447954,2765.8061000000002
196,334178.93584,3143244.12276,-160.0,334069.5055787245,3143127.3965079524,2765.7534800000003
197,334179.66538,3143243.4388200003,-160.0,334070.2351187024,3143126.712567973,2765.70086
198,334180.39492,3143242.75488,-160.0,334070.96465870005,3143126.028627975,2765.64824
199,334181.12445999996,3143242.07094,-160.0,334071.69419872214,3143125.344687954,2765.59562
200,334181.854,3143241.387,-160.0,334072.4237387245,3143124.6607479523,2765.543
201,334182.58354,3143240.70306,-160.0,334073.1532787222,3143123.9768079543,2765.53756
202,334183.31308,3143240.0191200003,-160.0,334073.88281870005,3143123.2928679753,2765.5321200000003
203,334184.04261999996,3143239.33518,-160.0,334074.61235870235,3143122.6089279726,2765.52668
204,334184.77216,3143238.65124,-160.0,334075.3418987245,3143121.924987952,2765.52124
205,334185.5017,3143237.9673,-160.0,334076.0714387222,3143121.241047954,2765.5158
206,334186.23124,3143237.2833600002,-160.0,334076.80097870005,3143120.5571079752,2765.51036
207,334186.96077999996,3143236.59942,-160.0,334077.53051870235,3143119.8731679725,2765.5049200000003
208,334187.69032,3143235.91548,-160.0,334078.2600587245,3143119.189227952,2765.49948
209,334188.41986,3143235.23154,-160.0,334078.9895987222,3143118.505287954,2765.49404
210,334189.1494,3143234.5476,-160.0,334079.71913871984,3143117.8213479565,2765.4886
211,334189.87893999997,3143233.8636600003,-160.0,334080.44867870235,3143117.137407973,2765.48316
212,334190.60848,3143233.17972,-160.0,334081.17821870465,3143116.4534679702,2765.4777200000003
213,334191.33802,3143232.49578,-160.0,334081.9077587222,3143115.769527954,2765.47228
214,334192.06756,3143231.81184,-160.0,334082.63729871984,3143115.0855879565,2765.46684
215,334192.79709999997,3143231.1279,-160.0,334083.36683870235,3143114.401647973,2765.4614
216,334193.52664,3143230.44396,-160.0,334084.09637870465,3143113.71770797,2765.4559600000002
217,334194.25618,3143229.76002,-160.0,334084.8259187222,3143113.033767954,2765.4505200000003
218,334194.98572,3143229.07608,-160.0,334085.55545871984,3143112.3498279564,2765.44508
219,334195.71525999997,3143228.39214,-160.0,334086.28499872214,3143111.665887954,2765.43964
220,334196.4448,3143227.7082,-160.0,334087.01453870465,3143110.9819479706,2765.4342
221,334197.17434,3143227.02426,-160.0,334087.7440787024,3143110.2980079725,2765.4287600000002
222,334197.90388,3143226.34032,-160.0,334088.47361871984,3143109.6140679563,2765.4233200000003
223,334198.63341999997,3143225.65638,-160.0,334089.20315872214,3143108.930127954,2765.41788
224,334199.36296,3143224.97244,-160.0,334089.93269870465,3143108.2461879705,2765.41244
225,334200.0925,3143224.2885,-160.0,334090.6622387024,3143107.5622479725,2765.407
226,334200.82204,3143223.60456,-160.0,334091.39177871984,3143106.8783079563,2765.4015600000002
227,334201.55157999997,3143222.92062,-160.0,334092.12131872214,3143106.194367954,2765.3961200000003
228,334202.28112,3143222.23668,-160.0,334092.8508587245,3143105.5104279523,2765.39068
229,334203.01066,3143221.55274,-160.0,334093.5803987024,3143104.826487973,2765.38524
230,334203.7402,3143220.8688,-160.0,334094.30993870005,3143104.142547975,2765.3798
231,334204.46974,3143220.18486,-160.0,334095.03947872214,3143103.458607954,2765.3743600000003
232,334205.19928,3143219.50092,-160.0,334095.7690187245,3143102.774667952,2765.3689200000003
233,334205.92882000003,3143218.81698,-160.0,334096.4985587222,3143102.090727954,2765.36348
234,334206.65836,3143218.13304,-160.0,334097.22809870006,3143101.406787975,2765.35804
235,334207.3879,3143217.4491,-160.0,334097.95763870236,3143100.7228479725,2765.3526
236,334208.11744,3143216.76516,-160.0,334098.6871787245,3143100.038907952,2765.3471600000003
237,334208.84698000003,3143216.08122,-160.0,334099.4167187222,3143099.354967954,2765.3417200000004
238,334209.57652,3143215.39728,-160.0,334100.14625870006,3143098.671027975,2765.33628
239,334210.30606,3143214.71334,-160.0,334100.87579870236,3143097.9870879725,2765.33084
240,334211.0356,3143214.0294,-160.0,334101.6053387245,3143097.303147952,2765.3254
241,334211.76514000003,3143213.34546,-160.0,334102.3348787222,3143096.619207954,2765.3199600000003
242,334212.49468,3143212.66152,-160.0,334103.06441871985,3143095.9352679565,2765.3145200000004
243,334213.22422,3143211.97758,-160.0,334103.79395870236,3143095.251327973,2765.30908
244,334213.95376,3143211.29364,-160.0,334104.52349870466,3143094.56738797,2765.30364
245,334214.68330000003,3143210.6097,-160.0,334105.2530387222,3143093.883447954,2765.2982
246,334215.41284,3143209.92576,-160.0,334105.98257871985,3143093.1995079564,2765.2927600000003
247,334216.14238,3143209.24182,-160.0,334106.71211870236,3143092.515567973,2765.2873200000004
248,334216.87192,3143208.5578799997,-160.0,334107.44165870466,3143091.83162797,2765.28188
249,334217.60146000003,3143207.87394,-160.0,334108.1711987222,3143091.147687954,2765.27644
250,334218.331,3143207.19,-160.0,334108.90073871985,3143090.4637479563,2765.271
251,334218.331,3143207.19,-160.0,,,2765.271
252,334218.331,3143207.19,-160.0,,,2765.271
253,334218.331,3143207.19,-160.0,,,2765.271
254,334218.331,3143207.19,-160.0,,,2765.271
255,334218.331,3143207.19,-160.0,,,2765.271
256,334218.331,3143207.19,-160.0,,,2765.271
