distance_from_source_m,x,y,native_z,z32,z64
1560.0,354911.9695180324,3130728.1983930157,4529.40869140625,4529.40869140625,4529.40869140625
1580.0,354897.8270626912,3130742.3402089146,4529.40869140625,4529.40869140625,4529.40869140625
1600.0,354883.6846073501,3130756.4820248135,4527.3359375,4527.3359375,4527.3359375
1620.0,354869.542152009,3130770.623840713,4527.3359375,4527.3359375,4527.3359375
1640.0,354855.39969666785,3130784.765656612,4521.8017578125,4521.8017578125,4521.8017578125
1660.0,354841.25724132673,3130798.907472511,4521.8017578125,4521.8017578125,4521.8017578125
1680.0,354827.1147859856,3130813.04928841,4520.90283203125,4520.90283203125,4520.90283203125
1700.0,354812.9723306445,3130827.191104309,4520.90283203125,4520.90283203125,4520.90283203125
1720.0,354798.8298753034,3130841.3329202086,4519.62890625,4519.62890625,4519.62890625
1740.0,354783.5395199458,3130853.6173322666,4519.62890625,4519.62890625,4519.62890625
1760.0,354764.565806319,3130859.941744588,4495.4111328125,4495.4111328125,4495.4111328125
1780.0,354745.59209269227,3130866.266156909,4441.123046875,4441.123046875,4441.123046875
1800.0,354726.6183790655,3130872.5905692303,4441.123046875,4441.123046875,4441.123046875
1820.0,354707.6446654387,3130878.9149815515,4374.837890625,4374.837890625,4374.837890625
1840.0,354688.6709518119,3130885.2393938727,4326.09130859375,4326.09130859375,4326.09130859375
1860.0,354669.6972381851,3130891.563806194,4324.64404296875,4324.64404296875,4324.64404296875
1880.0,354650.7235245583,3130897.888218515,4282.31591796875,4282.31591796875,4282.31591796875
1900.0,354631.7498109315,3130904.2126308363,4242.28759765625,4242.28759765625,4242.28759765625
1920.0,354612.7760973047,3130910.5370431575,4242.28759765625,4242.28759765625,4242.28759765625
1940.0,354593.8023836779,3130916.8614554787,4209.7666015625,4209.7666015625,4209.7666015625
1960.0,354574.8286700511,3130923.1858678,4179.00244140625,4179.00244140625,4179.00244140625
1980.0,354555.85495642433,3130929.510280121,4179.00244140625,4179.00244140625,4179.00244140625
2000.0,354536.88124279754,3130935.8346924423,4137.31005859375,4137.31005859375,4137.31005859375
2020.0,354517.88268525375,3130942.006006,4088.51611328125,4088.51611328125,4088.51611328125
2040.0,354497.88268525375,3130942.006006,4088.51611328125,4088.51611328125,4088.51611328125
2060.0,354477.88268525375,3130942.006006,4047.916259765625,4047.916259765625,4047.916259765625
2080.0,354457.88268525375,3130942.006006,4018.80859375,4018.80859375,4018.80859375
2100.0,354437.88268525375,3130942.006006,4018.80859375,4018.80859375,4018.80859375
2120.0,354417.88268525375,3130942.006006,3985.309814453125,3985.309814453125,3985.309814453125
2140.0,354397.88268525375,3130942.006006,3954.85400390625,3954.85400390625,3954.85400390625
2160.0,354377.88268525375,3130942.006006,3954.85400390625,3954.85400390625,3954.85400390625
2180.0,354357.88268525375,3130942.006006,3941.18603515625,3941.18603515625,3941.18603515625
2200.0,354337.88268525375,3130942.006006,3930.12255859375,3930.12255859375,3930.12255859375
2220.0,354317.88268525375,3130942.006006,3930.12255859375,3930.12255859375,3930.12255859375
2240.0,354297.88268525375,3130942.006006,3906.41162109375,3906.41162109375,3906.41162109375
2260.0,354277.88268525375,3130942.006006,3876.55078125,3876.55078125,3876.55078125
2280.0,354257.88268525375,3130942.006006,3853.2099609375,3853.2099609375,3853.2099609375
2300.0,354237.88268525375,3130942.006006,3853.2099609375,3853.2099609375,3853.2099609375
2320.0,354217.88268525375,3130942.006006,3834.669921875,3834.669921875,3834.669921875
2340.0,354197.88268525375,3130942.006006,3819.6357421875,3819.6357421875,3819.6357421875
2360.0,354177.88268525375,3130942.006006,3819.6357421875,3819.6357421875,3819.6357421875
2380.0,354157.88268525375,3130942.006006,3797.71142578125,3797.71142578125,3797.71142578125
2400.0,354137.88268525375,3130942.006006,3769.623046875,3769.623046875,3769.623046875
2420.0,354117.88268525375,3130942.006006,3769.623046875,3769.623046875,3769.623046875
2440.0,354097.88268525375,3130942.006006,3749.8935546875,3749.8935546875,3749.8935546875
2460.0,354077.88268525375,3130942.006006,3737.0947265625,3737.0947265625,3737.0947265625
2480.0,354057.88268525375,3130942.006006,3737.0947265625,3737.0947265625,3737.0947265625
2500.0,354037.88268525375,3130942.006006,3725.8720703125,3725.8720703125,3725.8720703125
2520.0,354017.88268525375,3130942.006006,3711.773681640625,3711.773681640625,3711.773681640625
2540.0,353997.88268525375,3130942.006006,3711.773681640625,3711.773681640625,3711.773681640625
2560.0,353978.2127688739,3130942.8029280817,3697.84716796875,3697.84716796875,3697.84716796875
2580.0,353964.07026020426,3130956.9446906494,3692.939208984375,3692.939208984375,3692.939208984375
2600.0,353949.92775153456,3130971.0864532175,3692.939208984375,3692.939208984375,3692.939208984375
2620.0,353935.7852428649,3130985.2282157857,3688.2880859375,3688.2880859375,3688.2880859375
2640.0,353921.6427341953,3130999.3699783534,3688.2880859375,3688.2880859375,3688.2880859375
2660.0,353907.5002255256,3131013.5117409215,3682.9384765625,3682.9384765625,3682.9384765625
2680.0,353893.35771685594,3131027.653503489,3682.9384765625,3682.9384765625,3682.9384765625
2700.0,353879.2152081863,3131041.7952660574,3677.90673828125,3677.90673828125,3677.90673828125
2720.0,353865.0726995166,3131055.9370286255,3677.90673828125,3677.90673828125,3677.90673828125
2740.0,353850.93019084696,3131070.078791193,3673.469970703125,3673.469970703125,3673.469970703125
2760.0,353836.7876821773,3131084.2205537613,3673.469970703125,3673.469970703125,3673.469970703125
2780.0,353822.6451735076,3131098.362316329,3667.7158203125,3667.7158203125,3667.7158203125
2800.0,353808.502664838,3131112.504078897,3667.7158203125,3667.7158203125,3667.7158203125
2820.0,353794.36015616835,3131126.6458414653,3678.240478515625,3678.240478515625,3678.240478515625
2840.0,353780.21764749865,3131140.787604033,3661.6298828125,3661.6298828125,3661.6298828125
2860.0,353766.075138829,3131154.929366601,3670.622802734375,3670.622802734375,3670.622802734375
2880.0,353751.93263015937,3131169.071129169,3655.1572265625,3655.1572265625,3655.1572265625
2900.0,353737.79012148967,3131183.212891737,3664.250244140625,3664.250244140625,3664.250244140625
2920.0,353723.64761282003,3131197.354654305,3649.1015625,3649.1015625,3649.1015625
2940.0,353709.5051041504,3131211.496416873,3658.83447265625,3658.83447265625,3658.83447265625
2960.0,353695.3625954807,3131225.638179441,3643.07470703125,3643.07470703125,3643.07470703125
2980.0,353681.22008681105,3131239.7799420087,3652.59423828125,3652.59423828125,3652.59423828125
3000.0,353667.0775781414,3131253.921704577,3636.470458984375,3636.470458984375,3636.470458984375
3020.0,353652.9350694717,3131268.063467145,3645.66845703125,3645.66845703125,3645.66845703125
3040.0,353638.7925608021,3131282.2052297127,3630.763916015625,3630.763916015625,3630.763916015625
3060.0,353624.65005213243,3131296.346992281,3641.2099609375,3641.2099609375,3641.2099609375
3080.0,353610.50754346274,3131310.4887548485,3625.69921875,3625.69921875,3625.69921875
3100.0,353596.3650347931,3131324.6305174166,3630.2578125,3630.2578125,3630.2578125
3120.0,353582.22252612346,3131338.772279985,3620.9580078125,3620.9580078125,3620.9580078125
3140.0,353568.0800174538,3131352.9140425525,3624.165771484375,3624.165771484375,3624.165771484375
3160.0,353553.9375087841,3131367.0558051206,3615.938232421875,3615.938232421875,3615.938232421875
3180.0,353539.7950001145,3131381.1975676883,3615.938232421875,3615.938232421875,3615.938232421875
3200.0,353525.65249144484,3131395.3393302565,3609.44287109375,3609.44287109375,3609.44287109375
3220.0,353511.50998277514,3131409.481092824,3609.44287109375,3609.44287109375,3609.44287109375
3240.0,353497.3674741055,3131423.6228553923,3604.423095703125,3604.423095703125,3604.423095703125
3260.0,353483.22496543586,3131437.7646179604,3604.423095703125,3604.423095703125,3604.423095703125
3280.0,353469.08245676616,3131451.906380528,3596.830810546875,3596.830810546875,3596.830810546875
3300.0,353454.9399480965,3131466.0481430963,3596.830810546875,3596.830810546875,3596.830810546875
3320.0,353440.7974394269,3131480.189905664,3589.9296875,3589.9296875,3589.9296875
3340.0,353426.6549307572,3131494.331668232,3589.9296875,3589.9296875,3589.9296875
3360.0,353412.51242208754,3131508.4734308003,3586.69189453125,3586.69189453125,3586.69189453125
3380.0,353398.3699134179,3131522.615193368,3586.69189453125,3586.69189453125,3586.69189453125
3400.0,353384.2274047482,3131536.756955936,3584.646728515625,3584.646728515625,3584.646728515625
3420.0,353372.16197104397,3131552.601600424,3584.646728515625,3584.646728515625,3584.646728515625
3440.0,353361.0675651341,3131569.2423383133,3581.13330078125,3581.13330078125,3581.13330078125
3460.0,353349.97315922426,3131585.883076203,3571.13623046875,3571.13623046875,3571.13623046875
3480.0,353338.87875331444,3131602.5238140924,3571.13623046875,3571.13623046875,3571.13623046875
3500.0,353327.7843474046,3131619.1645519817,3553.025390625,3553.025390625,3553.025390625
3520.0,353316.6899414948,3131635.8052898715,3553.025390625,3553.025390625,3553.025390625
3540.0,353305.59553558496,3131652.446027761,3551.351806640625,3551.351806640625,3551.351806640625
3560.0,353294.50112967513,3131669.0867656507,3547.21337890625,3547.21337890625,3547.21337890625
3580.0,353283.40672376525,3131685.72750354,3545.418212890625,3545.418212890625,3545.418212890625
3600.0,353272.3123178554,3131702.3682414293,3542.345458984375,3542.345458984375,3542.345458984375
3620.0,353261.2179119456,3131719.008979319,3537.04443359375,3537.04443359375,3537.04443359375
3640.0,353250.1235060358,3131735.6497172085,3531.041259765625,3531.041259765625,3531.041259765625
3660.0,353239.02910012595,3131752.2904550983,3530.037841796875,3530.037841796875,3530.037841796875
3680.0,353227.9346942161,3131768.9311929876,3523.58447265625,3523.58447265625,3523.58447265625
3700.0,353216.8402883063,3131785.5719308774,3523.58447265625,3523.58447265625,3523.58447265625
3720.0,353205.74588239647,3131802.2126687667,3517.12060546875,3517.12060546875,3517.12060546875
3740.0,353194.6514764866,3131818.853406656,3513.60791015625,3513.60791015625,3513.60791015625
3760.0,353183.55707057676,3131835.494144546,3512.065185546875,3512.065185546875,3512.065185546875
3780.0,353172.46266466693,3131852.134882435,3506.3994140625,3506.3994140625,3506.3994140625
3800.0,353161.3682587571,3131868.775620325,3506.3994140625,3506.3994140625,3506.3994140625
3820.0,353150.2738528473,3131885.4163582143,3502.54833984375,3502.54833984375,3502.54833984375
3840.0,353139.17944693746,3131902.0570961037,3502.54833984375,3502.54833984375,3502.54833984375
3860.0,353128.08504102763,3131918.6978339935,3498.651123046875,3498.651123046875,3498.651123046875
3880.0,353116.99063511775,3131935.338571883,3494.90478515625,3494.90478515625,3494.90478515625
3900.0,353105.8962292079,3131951.9793097726,3494.90478515625,3494.90478515625,3494.90478515625
3920.0,353094.8018232981,3131968.620047662,3490.155517578125,3490.155517578125,3490.155517578125
3940.0,353083.7074173883,3131985.2607855513,3490.155517578125,3490.155517578125,3490.155517578125
